N	3gram	Voloshinov	Literetu
1	в то же	9	21
2	то же время	7	21
3	по отношению к	2	12
4	не может быть	2	11
5	о том что	2	10
6	в этом отношении	2	10
7	с точки зрения	5	8
8	не только в	3	6
9	прежде всего в	4	5
10	в связи с	2	5
11	но при этом	2	4
12	и тем самым	3	4
13	то же самое	4	3
14	той или иной	4	3
15	на самом деле	3	3
16	в самом деле	2	3
17	ту или иную	4	3
18	в свою очередь	4	3
19	одно и то	5	2
20	для того чтобы	7	2
21	и то же	5	2
22	на первый взгляд	2	2
23	чуть ли не	2	2
24	в этом случае	3	2
25	к тому что	2	2
26	но и в	3	2
27	и не только	2	2
28	вместе с тем	2	2
29	в значительной степени	2	2
30	тех или иных	3	2
31	не так как	2	2
