N	3gram	Medvedev_V	Myslijsy
1	в том что	5	47
2	по отношению к	7	26
3	не может быть	8	19
4	по крайней мере	2	17
5	и т д	16	15
6	от того что	2	13
7	то же время	5	13
8	в то же	5	13
9	не в том	2	13
10	во всяком случае	2	12
11	с другой стороны	8	12
12	более или менее	6	12
13	только в том	2	12
14	до сих пор	2	12
15	и т п	9	11
16	подобно тому как	3	11
17	для того чтобы	3	11
18	с одной стороны	2	10
19	о том что	3	9
20	не могут быть	4	9
21	вместе с тем	4	8
22	можно сказать что	4	7
23	не только не	2	7
24	не только в	2	7
25	не было бы	4	6
26	после того как	2	6
27	таким образом в	2	5
28	к тому что	4	5
29	мы видели что	3	4
30	в противном случае	2	4
31	в этом отношении	14	4
32	в том чтобы	2	4
33	этой точки зрения	2	3
34	не было в	2	3
35	одном и том	2	3
36	можно было бы	2	3
37	одной стороны и	2	3
38	хотя бы и	5	3
39	в связи с	4	3
40	в одном из	4	3
41	и том же	2	3
42	равно как и	4	3
43	не только для	2	2
44	в каждом отдельном	2	2
45	только то что	2	2
46	бы не было	2	2
47	из них не	2	2
48	о том как	3	2
49	носит в себе	2	2
50	и не может	2	2
51	что все эти	2	2
