N	3gram	Bakhtin_Pr	Psycholo
1	в том что	6	78
2	на то что	2	55
3	в самом деле	6	51
4	и т п	10	37
5	о том что	2	34
6	с точки зрения	21	29
7	все то что	3	23
8	до сих пор	9	23
9	не может быть	8	23
10	и т д	4	22
11	с другой стороны	6	20
12	на самом деле	4	17
13	не только не	2	16
14	в зависимости от	5	15
15	во всяком случае	4	14
16	в этом отношении	3	14
17	в то время	2	14
18	само по себе	4	14
19	можно было бы	3	13
20	то время как	2	13
21	и в этом	5	13
22	сам по себе	2	12
23	в конце концов	7	12
24	этой точки зрения	2	12
25	подобно тому как	3	11
26	сами по себе	4	10
27	том что он	5	10
28	в том и	2	9
29	в данном случае	2	9
30	в отличие от	4	9
31	друг с другом	3	8
32	на этот вопрос	2	7
33	можно сказать что	2	7
34	только то что	2	7
35	как и в	3	7
36	в этом смысле	12	7
37	потому что она	3	6
38	более или менее	4	6
39	тем не менее	2	6
40	сама по себе	5	6
41	именно потому что	2	6
42	никогда не может	2	6
43	не только в	2	6
44	как бы в	6	5
45	в лучшем случае	2	5
46	же как и	2	5
47	нам кажется что	3	5
48	как если бы	3	5
49	таким образом все	2	5
50	в целом ряде	2	5
51	к тому же	2	4
52	в настоящее время	3	4
53	мы уже говорили	3	4
54	таким образом и	2	4
55	и не может	6	4
56	того и другого	2	4
57	это вовсе не	2	4
58	и в сущности	2	4
59	бы то ни	3	3
60	он может быть	2	3
61	может быть и	2	3
62	он не только	2	3
63	а вовсе не	2	3
64	в то же	13	3
65	в отношении к	3	3
66	по отношению к	12	3
67	то же время	13	3
68	оно может быть	2	3
69	дело идет о	4	3
70	то что было	4	2
71	но при этом	2	2
72	так и в	2	2
73	другой стороны и	3	2
74	все же не	3	2
75	то ни было	2	2
76	к нему и	2	2
77	а следовательно и	2	2
78	не согласиться с	2	2
79	то же что	3	2
80	как и все	4	2
81	перед нами в	2	2
82	хотя и не	3	2
83	в одном из	2	2
84	что может быть	3	2
85	в узком смысле	2	2
86	а не как	5	2
87	по крайней мере	2	2
88	и это не	3	2
89	но и на	2	2
90	начала и до	2	2
91	как мы увидим	3	2
92	т п все	2	2
93	точку зрения на	3	2
94	у него в	2	2
95	между тем как	5	2
96	как в музыке	2	2
97	в той же	3	2
98	что она не	3	2
99	как один из	2	2
