N	3gram	Bakhtin_Pr	Vvedenie
1	для того чтобы	3	22
2	в том что	10	15
3	о том что	5	13
4	в этом смысле	12	10
5	не может быть	8	10
6	до сих пор	3	7
7	в то же	10	6
8	в самом деле	5	6
9	то же время	10	6
10	во всяком случае	3	5
11	с другой стороны	3	5
12	по крайней мере	3	4
13	не только в	2	4
14	и в том	2	4
15	в данном случае	3	4
16	само по себе	4	4
17	в этом отношении	7	4
18	и в этом	8	4
19	но все же	3	4
20	по отношению к	17	4
21	в отличие от	3	4
22	с точки зрения	21	4
23	можно было бы	4	4
24	по сравнению с	2	4
25	заключается в том	2	3
26	той или иной	3	3
27	как мы видели	3	3
28	в зависимости от	5	3
29	можно сказать что	3	3
30	что может быть	2	3
31	сама по себе	3	3
32	но в то	5	3
33	как мы уже	2	2
34	подобно тому как	5	2
35	в целом ряде	2	2
36	этой точки зрения	3	2
37	в конце концов	7	2
38	потому что он	2	2
39	смысле этого слова	2	2
40	хотя бы и	3	2
