N	3gram	Voloshinov	Freidism
1	с точки зрения	2	15
2	не может быть	7	14
3	по отношению к	11	11
4	в том что	4	9
5	может быть и	3	6
6	можно сказать что	5	5
7	мы можем сказать	2	5
8	тем не менее	3	4
9	в данном случае	2	4
10	в зависимости от	2	4
11	на самом деле	2	4
12	бы то ни	3	3
13	и не может	3	3
14	до сих пор	3	3
15	то ни было	3	2
16	то же самое	2	2
17	мы никогда не	2	2
18	это как бы	3	2
19	с одной стороны	2	2
20	в какой степени	2	2
21	и по отношению	3	2
22	смысл и значение	2	2
23	конечно не может	2	2
