N	3gram	Bakhtin_Pr	VerxiiNi
1	с точки зрения	21	6
2	во всяком случае	3	6
3	для того чтобы	3	5
4	по крайней мере	3	5
5	до сих пор	3	5
6	друг с другом	4	5
7	но все же	3	4
8	о том что	5	4
9	в конце концов	7	3
10	так же как	4	3
11	в том что	10	3
12	то ни было	2	2
13	и в этом	8	2
14	бы то ни	3	2
15	можно сказать что	3	2
16	таким образом в	2	2
17	в то же	10	2
18	той или иной	3	2
19	то же время	10	2
20	с самого начала	3	2
21	этой точки зрения	3	2
22	в этом отношении	7	2
23	по сравнению с	2	2
24	может быть даже	2	2
