N	2gram	Ircho_Kome	Marksizm
1	точки зрения	7	69
2	может быть	16	64
3	и в	40	63
4	и не	19	55
5	как бы	3	53
6	не может	3	47
7	и его	17	41
8	в этом	9	39
9	таким образом	13	38
10	как мы	5	32
11	не только	12	29
12	в нем	8	28
13	то же	7	28
14	но и	14	27
15	связи с	3	25
16	прежде всего	8	24
17	как и	12	24
18	в самом	5	24
19	так и	17	23
20	только в	6	23
21	в том	19	22
22	то что	8	22
23	при этом	5	20
24	том что	19	19
25	не в	8	19
26	в его	8	19
27	если бы	4	19
28	но в	6	18
29	в ее	2	18
30	и для	4	18
31	вовсе не	3	18
32	все же	7	17
33	в сущности	3	17
34	в то	14	16
35	по отношению	5	16
36	и как	3	16
37	ни было	4	16
38	речь в	2	16
39	что он	11	15
40	в связи	3	15
41	во всех	4	15
42	отношению к	5	15
43	отнюдь не	2	15
44	же время	5	15
45	хотя бы	2	14
46	ничего не	4	13
47	так же	4	13
48	мы не	4	13
49	того чтобы	4	13
50	было бы	8	13
51	в своей	3	13
52	не является	2	13
53	и здесь	6	13
54	то ни	4	13
55	что в	12	13
56	в результате	5	12
57	а в	9	12
58	того же	4	12
59	бы то	4	12
60	для того	3	12
61	является не	2	12
62	он не	5	12
63	между тем	9	12
64	друг друга	2	11
65	как в	8	11
66	и все	4	11
67	к нему	5	11
68	и на	9	11
69	в ней	2	11
70	сих пор	3	11
71	и от	2	11
72	так как	6	11
73	еще не	7	11
74	и что	2	11
75	до сих	3	11
76	его в	6	10
77	в каждом	2	10
78	отличие от	4	10
79	самого начала	2	10
80	здесь мы	3	10
81	с самого	3	10
82	здесь в	4	10
83	во всяком	4	10
84	с его	4	10
85	одна из	4	10
86	к этому	8	10
87	в своем	6	10
88	в отличие	3	10
89	с другой	7	10
90	именно в	5	10
91	в большинстве	2	10
92	и следовательно	2	9
93	в себе	3	9
94	это не	2	9
95	только на	2	9
96	мы видели	2	9
97	одной из	6	9
98	и это	3	9
99	к тому	15	9
100	большинстве случаев	2	9
101	в истории	10	9
102	в нашем	2	9
103	что это	5	9
104	и более	2	9
105	ни в	9	9
106	же самое	2	9
107	в отношении	6	8
108	и ее	5	8
109	в форме	2	8
110	в их	6	8
111	мы знаем	5	8
112	с этим	5	8
113	тому что	4	8
114	что и	10	8
115	другой стороны	6	8
116	за пределы	2	8
117	и даже	5	8
118	мы можем	6	8
119	и их	3	8
120	у нас	3	8
121	на то	3	8
122	в свою	2	8
123	и с	8	8
124	столь же	9	8
125	у него	6	8
126	чем же	2	8
127	ясно что	9	8
128	до конца	3	7
129	по себе	2	7
130	место в	7	7
131	могут быть	3	7
132	с ними	2	7
133	в качестве	8	7
134	в этой	9	7
