N	2gram	Voloshinov	EvropaiC
1	таким образом	9	34
2	в том	3	31
3	и в	16	24
4	том что	3	20
5	все эти	5	19
6	не может	8	18
7	то что	3	18
8	может быть	17	17
9	до сих	3	15
10	сих пор	3	15
11	точки зрения	8	14
12	в этом	9	13
13	все это	4	13
14	с этим	2	12
15	самом деле	6	12
16	но и	4	11
17	не только	7	10
18	так и	4	10
19	во всех	3	10
20	мы знаем	3	10
21	как и	2	10
22	все что	4	10
23	как бы	5	10
24	и не	4	9
25	что в	3	9
26	и все	4	9
27	того же	2	9
28	при этом	6	9
29	так же	2	8
30	из этих	2	8
31	в самом	2	8
32	знаем что	2	8
33	с точки	6	8
34	на самом	4	7
35	для этого	2	7
36	в психике	8	7
37	так как	4	7
38	что он	2	7
39	не менее	2	7
40	о том	2	7
41	что и	2	7
42	в этой	4	7
43	вместе с	3	7
44	только в	4	6
45	еще не	5	6
46	и для	2	6
47	в общем	3	6
48	и на	4	6
49	мы можем	9	6
50	с ним	2	6
51	его в	4	5
52	по сравнению	3	5
53	к этому	2	5
54	и их	4	5
55	между собою	2	5
56	что это	2	5
57	по своему	2	5
58	у него	2	5
59	но в	4	5
60	а потому	4	5
61	и с	8	5
62	и к	6	5
63	не будет	2	5
64	в его	4	5
65	сравнению с	3	5
66	никогда не	2	4
67	не могут	2	4
68	для меня	2	4
69	хотя бы	4	4
70	отношение к	5	4
71	то же	2	4
72	в области	3	4
73	совершенно не	8	4
74	и проч	9	4
75	между собой	2	4
76	не есть	2	4
77	что мы	2	4
78	он не	2	4
79	если мы	2	4
80	мы уже	2	4
81	нечего и	2	3
82	и вообще	2	3
83	и потому	3	3
84	и говорить	2	3
85	в начале	2	3
86	ни было	2	3
87	с этой	2	3
88	в этих	3	3
89	конечно не	6	3
90	и других	2	3
91	и наконец	4	3
92	прежде всего	9	3
93	в жизни	2	3
94	и это	6	3
95	на этой	3	3
96	а в	3	3
97	в нем	4	3
98	что оно	2	3
99	для нас	2	3
100	можно назвать	2	3
101	было бы	2	3
102	и по	2	3
103	и может	4	3
104	же как	2	3
105	как мы	4	3
106	все то	2	2
107	другими словами	2	2
108	тех же	3	2
109	только то	2	2
110	но как	2	2
111	к ним	2	2
112	и ее	4	2
113	потому и	2	2
114	как не	2	2
115	на первый	2	2
116	в частности	2	2
117	на друга	2	2
118	в один	4	2
119	не знает	2	2
120	в одно	2	2
121	всех других	2	2
122	друг на	2	2
123	для него	6	2
124	есть в	2	2
125	и так	2	2
126	они не	2	2
127	их в	3	2
128	те же	3	2
129	ту же	2	2
130	что на	2	2
131	на этом	3	2
132	между ними	3	2
133	отнюдь не	4	2
134	в них	2	2
135	всяком случае	3	2
136	жизни и	3	2
137	сводится к	2	2
138	с ними	4	2
139	во всяком	3	2
140	говорить о	2	2
141	себя и	2	2
142	и его	8	2
143	и только	9	2
144	с ее	4	2
145	во всей	2	2
146	в основе	3	2
