N	2gram	Tiupa_Narr	FransuaR
1	и в	22	367
2	то есть	15	209
3	в этом	23	112
4	и т.п	11	108
5	и не	34	101
6	таким образом	5	100
7	и его	12	99
8	в его	12	98
9	прежде всего	7	92
10	не только	50	87
11	но и	39	84
12	как бы	11	82
13	все эти	3	79
14	вовсе не	2	77
15	в романе	3	77
16	как и	15	76
17	в нем	9	75
18	но в	10	75
19	и на	5	72
20	в том	20	71
21	как мы	3	71
22	то же	12	66
23	и все	7	66
24	так и	12	65
25	в этой	8	65
26	в сущности	2	64
27	и с	3	64
28	во время	2	63
29	в то	9	63
30	во всех	2	62
31	же время	7	55
32	что в	6	52
33	в своем	7	51
34	только в	23	48
35	том что	15	45
36	в году	2	44
37	то что	14	41
38	жизни и	7	40
39	у него	13	40
40	в самом	8	38
41	точки зрения	8	37
42	в ней	5	37
43	с его	6	36
44	может быть	24	35
45	о том	5	35
46	сказать что	5	34
47	и даже	4	34
48	в себе	14	34
49	в конце	4	32
50	он не	8	32
51	для него	8	32
52	в своей	8	31
53	нового времени	2	31
54	до конца	2	31
55	в литературе	8	31
56	так же	2	30
57	никогда не	8	30
58	и потому	2	30
59	той же	2	30
60	один из	8	30
61	потому что	7	30
62	но он	2	30
63	в этих	3	29
64	не может	16	29
65	еще не	6	29
66	не в	12	29
67	при этом	31	29
68	в одном	5	29
69	в особенности	2	29
70	связи с	3	29
71	что он	7	29
72	из них	4	28
73	в той	4	28
74	также и	4	28
75	и к	7	28
76	роль в	4	27
77	сих пор	3	27
78	по своему	3	27
79	до сих	3	27
80	все же	10	27
81	в эпизоде	4	27
82	с помощью	2	25
83	в области	4	25
84	но это	2	25
85	мира и	2	25
86	отношение к	2	24
87	того чтобы	7	24
88	в ее	4	24
89	и от	3	24
90	в частности	23	24
91	например в	2	24
92	но не	7	24
93	как в	9	24
94	и у	4	24
95	он и	2	24
96	времени и	9	24
97	своего рода	17	23
98	так сказать	4	23
99	и для	4	23
100	это не	6	23
101	с ним	6	23
102	и здесь	3	23
103	к нему	5	23
104	и о	4	22
105	границы между	2	22
106	а в	19	22
107	что и	3	22
108	вместе с	3	22
109	не было	3	22
110	именно в	5	21
111	в своих	2	21
112	в себя	3	21
113	в качестве	27	21
114	что это	4	21
115	и наконец	2	21
116	одним из	2	21
117	и как	4	21
118	а также	11	20
119	как раз	9	20
120	одной из	2	20
121	этом отношении	5	20
122	в виду	2	20
123	с точки	2	20
124	самом деле	4	20
125	в связи	3	20
126	в форме	7	19
127	того же	2	19
128	их в	4	19
129	хотя и	8	19
130	к этому	2	19
131	было бы	2	19
132	далеко не	6	19
133	с другой	6	19
134	с ее	3	19
135	на протяжении	12	19
136	со всеми	3	18
137	здесь не	4	18
138	превращается в	2	18
139	но они	4	18
140	это и	2	18
141	перед нами	9	18
142	одна из	5	18
143	существенную роль	3	18
144	для того	4	17
145	того что	7	17
