N	2gram	Kanaev_Sov	Tvorches
1	и в	7	56
2	как бы	4	41
3	в его	2	37
4	то же	3	25
5	не только	4	24
6	но в	3	24
7	и не	6	23
8	а в	4	23
9	как и	6	23
10	в этом	7	22
11	в том	4	21
12	что в	2	21
13	может быть	12	19
14	у него	2	18
15	все это	3	17
16	таким образом	11	17
17	прежде всего	5	16
18	при этом	3	16
19	не может	17	16
20	в этой	3	15
21	это не	4	14
22	и даже	2	14
23	а не	3	13
24	в целом	4	12
25	все же	3	11
26	отнюдь не	3	11
27	в конце	3	10
28	не в	3	10
29	уже в	3	10
30	в самом	2	10
31	в свою	2	9
32	в нем	3	9
33	по мнению	2	9
34	в себе	3	8
35	не менее	2	8
36	на его	2	8
37	так как	4	8
38	еще не	3	8
39	вместе с	4	8
40	самом деле	2	7
41	в дальнейшем	4	7
42	что она	3	7
43	в которой	2	7
44	уже не	2	7
45	приводит к	2	6
46	и все	3	6
47	все эти	5	6
48	одна из	3	6
49	еще более	2	6
50	ничего не	6	5
51	как он	3	5
52	в виде	2	5
53	мы не	9	5
54	и по	2	5
55	тот же	2	5
56	что это	2	5
57	с этим	2	5
58	из них	4	5
59	в таком	2	5
60	и потому	3	4
61	роль в	2	4
62	отличие от	2	4
63	самого начала	3	4
64	что все	2	4
65	точки зрения	12	4
66	№ с	2	4
67	могут быть	2	4
68	о жизни	2	4
69	мы видим	2	4
70	как известно	2	4
71	и мы	3	4
72	так сказать	2	4
73	в каждом	8	4
74	и наконец	5	4
75	и есть	2	4
76	времени и	2	4
77	такой же	2	4
78	в отличие	2	4
79	с самого	3	4
80	с точки	5	4
81	говорить о	2	4
82	той же	2	4
83	в области	3	3
84	в один	2	3
85	мы знаем	2	3
86	всяком случае	2	3
87	развития в	2	3
88	в первом	3	3
89	как мы	2	3
90	из этих	2	3
91	отличается от	3	3
92	у нас	3	3
93	со всеми	2	3
94	на этот	2	3
95	нет и	4	3
96	и к	3	3
97	на этом	2	3
98	может не	3	3
99	жизни и	4	3
100	и что	2	3
101	во всяком	2	3
102	в которую	2	3
103	в одном	3	3
104	не могут	2	2
105	но мы	3	2
106	ведь это	3	2
107	свою очередь	2	2
108	точку зрения	4	2
109	теперь же	2	2
110	и будет	2	2
111	он в	3	2
112	настоящее время	2	2
113	между собой	3	2
114	что же	5	2
115	было бы	3	2
116	значение в	2	2
117	же это	4	2
118	при таком	3	2
119	тем не	2	2
120	в новых	2	2
121	в результате	6	2
122	с одной	2	2
123	их в	4	2
124	которой он	2	2
125	если же	2	2
126	не дает	2	2
127	ясно что	3	2
