N	2gram	Vinokur_St	Freidism
1	и не	23	34
2	таким образом	16	34
3	точки зрения	16	31
4	не может	10	30
5	и пр	4	29
6	может быть	16	28
7	и в	61	28
8	в этом	37	28
9	прежде всего	11	26
10	в его	19	25
11	и его	11	22
12	как бы	8	19
13	то что	27	17
14	вовсе не	24	16
15	так как	7	15
16	с точки	10	15
17	все эти	7	15
18	самом деле	14	14
19	так и	15	14
20	в своей	12	14
21	во всех	8	13
22	и все	3	13
23	но в	16	13
24	как и	11	13
25	по отношению	3	13
26	точку зрения	3	12
27	и потому	3	12
28	том что	49	12
29	то же	7	12
30	что он	23	12
31	ни в	5	12
32	в самом	14	12
33	для него	10	12
34	все это	13	12
35	сказать что	9	11
36	его в	4	11
37	отношению к	3	11
38	только в	11	11
39	никогда не	7	10
40	и с	6	10
41	за пределы	2	10
42	не только	36	10
43	но и	28	10
44	не в	15	10
45	он не	11	10
46	в том	56	10
47	что же	6	10
48	тот же	2	10
49	конечно не	2	10
50	могут быть	5	9
51	к этому	4	9
52	совершенно не	7	9
53	к нему	2	9
54	в чем	4	9
55	и на	7	9
56	мы не	3	9
57	а не	19	9
58	во всяком	8	9
59	с его	3	9
60	все же	12	8
61	с этим	6	8
62	было бы	21	8
63	по мнению	4	8
64	еще не	4	8
65	а в	18	8
66	в ней	9	8
67	всяком случае	8	8
68	при этом	4	8
69	в каком	4	7
70	не могут	2	7
71	до конца	4	7
72	в то	10	7
73	в себе	3	7
74	что в	41	7
75	хотя бы	8	7
76	и для	4	7
77	отношение к	3	7
78	быть и	2	7
79	не является	5	7
80	того что	14	7
81	и у	2	7
82	его жизни	3	7
83	но не	5	7
84	что все	3	7
85	с самого	4	7
86	об этом	9	7
87	в нем	9	7
88	и к	5	7
89	из них	11	7
90	жизни и	6	7
91	в этой	13	7
92	одно из	3	6
93	на самом	8	6
94	для этого	2	6
95	мы имеем	2	6
96	из этих	7	6
97	всех этих	2	6
98	не менее	8	6
99	для того	15	6
100	в таком	4	6
101	и только	3	6
102	и о	4	6
103	она не	3	6
104	к тому	9	6
105	что такое	2	6
106	можно сказать	2	6
107	совсем не	3	6
108	как раз	10	6
109	и что	8	6
110	же время	5	6
111	во время	5	6
112	в основе	4	6
113	по поводу	13	5
114	что это	5	5
115	ничего не	6	5
116	со стороны	7	5
117	что она	5	5
118	с их	2	5
119	в которой	13	5
120	и по	6	5
121	во второй	10	5
122	со всеми	2	5
123	и те	4	5
124	в этих	5	5
125	на основании	2	5
126	чем не	2	5
127	как это	6	5
128	не знает	2	5
129	самого начала	3	5
130	конечно и	5	5
131	что и	8	5
132	ее в	2	5
133	тому что	8	5
134	в общем	2	5
135	таким путем	2	5
136	в своих	2	5
137	это не	8	5
138	той же	5	5
139	в процессе	3	5
140	того чтобы	15	5
141	не было	7	5
142	в ее	6	5
143	и до	2	5
144	говорить о	3	5
145	заключается в	5	5
146	в период	2	5
147	вместе с	5	5
148	данном случае	7	4
149	и вообще	5	4
150	с которыми	3	4
151	так же	7	4
152	нисколько не	3	4
153	но это	9	4
154	в развитии	2	4
155	в области	16	4
156	в другом	5	4
157	тем не	4	4
158	на него	3	4
159	этом отношении	13	4
160	если бы	11	4
161	это вовсе	2	4
162	в виду	6	4
163	нигде не	2	4
164	не всегда	2	4
165	но ведь	8	4
166	ничего общего	3	4
167	этой области	5	4
168	и за	3	4
169	у него	3	4
170	как в	15	4
171	в своем	8	4
172	только с	4	4
173	борьбы с	3	4
174	по своему	2	4
175	в котором	11	4
176	связанные с	3	4
177	потому что	13	4
178	именно в	8	4
179	в голову	2	4
180	а потому	2	4
181	этот вопрос	6	4
182	что оно	4	4
183	выражение в	2	4
184	не существует	4	4
185	мы находим	4	4
186	по себе	3	4
187	из которого	2	4
188	в целом	5	4
189	зависимости от	2	4
190	отметить что	4	4
191	должны быть	4	4
192	в зависимости	2	4
193	то ни	2	4
194	это и	5	4
195	в истории	5	4
196	в данном	16	4
197	и речи	3	4
198	я не	13	4
199	не дает	2	4
200	и то	6	3
201	и от	2	3
202	в свой	2	3
203	в эпоху	3	3
204	о них	3	3
205	в сознании	2	3
206	нуждается в	2	3
207	в результате	5	3
208	борьба с	2	3
209	и даже	8	3
210	тем же	3	3
211	и как	2	3
212	этих двух	4	3
213	на все	2	3
214	а как	5	3
215	он был	5	3
216	ни один	2	3
217	одним из	2	3
218	у нас	12	3
219	такой же	6	3
220	как на	10	3
221	сих пор	12	3
222	в какой	4	3
223	и очень	5	3
224	ведь и	3	3
225	нет никакого	3	3
226	на этот	5	3
227	не так	2	3
228	ни на	3	3
229	в г	10	3
230	о том	30	3
231	они не	2	3
232	если это	3	3
233	того же	4	3
234	на почве	2	3
235	оно не	3	3
236	к его	2	3
237	их в	2	3
238	на себя	3	3
239	но для	3	3
240	ответ на	4	3
241	в одном	7	3
242	же касается	3	3
243	в основу	5	3
244	что мы	5	3
245	в них	2	3
246	только не	2	3
247	можно ли	5	3
