N	2gram	Potebnia_M	Freidism
1	и не	28	34
2	таким образом	24	34
3	точки зрения	4	31
4	не может	18	30
5	может быть	46	28
6	и в	48	28
7	в этом	19	28
8	прежде всего	6	26
9	в его	6	25
10	и его	4	22
11	мы можем	13	20
12	как бы	10	19
13	как мы	8	18
14	то что	37	17
15	вовсе не	13	16
16	так как	20	15
17	с точки	3	15
18	самом деле	5	14
19	так и	17	14
20	в своей	2	14
21	с ним	10	14
22	и все	5	13
23	в душе	17	13
24	но в	8	13
25	как и	22	13
26	по отношению	12	13
27	и потому	9	12
28	том что	28	12
29	то же	35	12
30	что он	8	12
31	мы видели	5	12
32	ни в	2	12
33	в самом	11	12
34	и наконец	3	12
35	для него	14	12
36	все это	4	12
37	сказать что	8	11
38	его в	6	11
39	отношению к	10	11
40	только в	29	11
41	никогда не	2	10
42	и с	4	10
43	в сознание	16	10
44	за пределы	2	10
45	не только	32	10
46	но и	30	10
47	не в	24	10
48	он не	4	10
49	в том	47	10
50	мы уже	5	10
51	все что	4	10
52	один из	7	10
53	что же	3	10
54	тот же	2	10
55	конечно не	2	10
56	мы должны	6	9
57	могут быть	6	9
58	к этому	3	9
59	те же	6	9
60	к нему	7	9
61	в чем	6	9
62	уже не	11	9
63	и на	5	9
64	мы не	17	9
65	а не	22	9
66	во всяком	4	9
67	все же	3	8
68	с этим	12	8
69	душевной жизни	10	8
70	было бы	16	8
71	еще не	9	8
72	с другими	9	8
73	а в	14	8
74	в ней	11	8
75	всяком случае	3	8
76	при этом	6	8
77	в каком	8	7
78	так сказать	6	7
79	не могут	7	7
80	в то	16	7
81	в себе	26	7
82	что в	30	7
83	хотя бы	3	7
84	отношение к	2	7
85	я и	3	7
86	того что	24	7
87	его жизни	2	7
88	но не	8	7
89	что все	5	7
90	об этом	4	7
91	связь с	4	7
92	в нем	16	7
93	если мы	2	7
94	и к	5	7
95	из них	11	7
96	жизни и	3	7
97	с сознанием	2	7
98	в этой	3	7
99	одно из	6	6
100	на самом	4	6
101	но мы	3	6
102	из этих	10	6
103	в человеке	4	6
104	человека и	8	6
105	сознания и	2	6
106	не менее	9	6
107	для того	8	6
108	в таком	6	6
109	и только	5	6
110	и о	6	6
111	она не	4	6
112	к тому	9	6
113	не можем	8	6
114	что такое	2	6
115	можно сказать	4	6
116	ни о	3	6
117	в свою	6	6
118	большинстве случаев	2	6
119	совсем не	2	6
120	и что	13	6
121	же время	8	6
122	во время	4	6
123	до сознания	2	6
124	по поводу	8	5
125	что это	6	5
126	со стороны	4	5
127	что она	4	5
128	в которой	9	5
129	и по	5	5
130	другими словами	3	5
131	от того	10	5
132	между ними	4	5
133	в этих	2	5
134	не знает	4	5
135	увидим что	2	5
136	что и	16	5
137	ее в	2	5
138	тому что	6	5
139	таким путем	2	5
140	в более	4	5
141	далеко не	5	5
142	в своих	2	5
143	в большинстве	2	5
144	сознание и	5	5
145	это не	2	5
146	той же	6	5
147	в процессе	2	5
148	того чтобы	5	5
149	не было	12	5
150	в ее	3	5
151	с ними	6	5
152	он сам	2	5
153	и до	2	5
154	говорить о	6	5
155	заключается в	2	5
156	вместе с	22	5
157	данном случае	3	4
158	человека в	2	4
159	и вообще	4	4
160	в таких	4	4
161	дает нам	3	4
162	его к	2	4
163	так же	6	4
164	в систему	2	4
165	но это	9	4
166	в области	3	4
167	в собственном	3	4
168	мысли и	8	4
169	тем не	7	4
170	на него	3	4
171	этом отношении	2	4
172	если бы	20	4
173	таком случае	2	4
174	и может	4	4
175	это только	2	4
176	не всегда	5	4
177	ничего общего	2	4
178	свою очередь	6	4
179	только на	4	4
180	в последнем	4	4
181	у него	3	4
182	может стать	3	4
183	как в	17	4
184	к ней	7	4
185	в своем	6	4
186	содержание его	3	4
187	влияние на	3	4
188	по своему	2	4
189	и оно	3	4
190	а только	7	4
191	в котором	7	4
192	потому что	82	4
193	именно в	5	4
194	в голову	3	4
195	а потому	8	4
196	что оно	12	4
197	не существует	5	4
198	по себе	26	4
199	в целом	5	4
200	нет и	2	4
201	должны быть	3	4
202	только как	9	4
203	сам по	9	4
204	себя и	4	4
205	это и	2	4
206	в истории	2	4
207	в данном	3	4
208	слова и	8	4
209	не дает	2	4
210	и то	13	3
211	и от	5	3
