N	2gram	Tiupa_Disk	RusskieA
1	и в	27	79
2	в том	29	64
3	том что	27	59
4	что в	8	57
5	не только	36	41
6	в этом	29	33
7	состоит в	20	32
8	как бы	9	31
9	но и	22	31
10	как и	27	28
11	может быть	29	28
12	и на	8	28
13	о том	12	23
14	при этом	22	22
15	это не	5	20
16	как мы	2	20
17	а в	5	20
18	там же	3	20
19	из них	6	19
20	представляют собой	2	18
21	все это	2	18
22	потому что	7	17
23	то что	10	17
24	об этом	3	17
25	таким образом	4	17
26	вместе с	3	17
27	мы не	2	16
28	один из	3	15
29	или на	3	15
30	будто бы	3	15
31	не менее	6	14
32	в них	6	14
33	как это	2	14
34	и не	25	14
35	и с	2	14
36	и что	2	14
37	и по	2	13
38	к этому	4	13
39	не может	17	13
40	еще не	20	13
41	как в	16	13
42	уже не	7	13
43	в которых	5	13
44	между собой	2	12
45	этом случае	3	12
46	мы имеем	4	12
47	тем что	4	12
48	что на	3	11
49	но это	3	11
50	далеко не	10	11
51	так и	14	10
52	так например	2	10
53	между тем	5	10
54	все же	8	10
55	что и	5	10
56	а также	15	10
57	том чтобы	2	10
58	представляет собой	24	10
59	или в	2	10
60	данном случае	6	9
61	о чем	4	9
62	но в	15	9
63	и все	5	9
64	с ней	3	9
65	то же	12	9
66	в г	2	9
67	но не	17	9
68	того что	4	8
69	одно из	4	8
70	как уже	5	8
71	в данном	9	8
72	на себя	2	8
73	их в	2	8
74	связи с	4	8
75	во всех	6	8
76	подобно тому	4	8
77	в этих	4	8
78	тому как	5	8
79	в своем	11	7
80	не в	8	7
81	а с	8	7
82	до конца	2	7
83	из этих	3	7
84	и как	9	7
85	еще в	6	7
86	только в	9	7
87	как будто	3	7
88	а не	35	7
89	в этой	5	6
90	должно было	2	6
91	друг друга	2	6
92	на этом	3	6
93	в их	5	6
94	не всегда	2	6
95	только на	2	6
96	к тому	6	6
97	в нем	16	6
98	в году	3	6
99	все эти	2	6
100	в качестве	45	6
101	но она	3	6
102	в одном	5	6
103	и о	4	6
104	но они	3	6
105	и другой	2	6
106	приводит к	4	6
107	в разные	2	6
108	вопрос о	2	5
109	и потому	3	5
110	в тех	2	5
111	вплоть до	2	5
112	к себе	2	5
113	что он	6	5
114	прежде всего	17	5
115	и др	3	5
116	к ним	3	5
117	в свою	3	5
118	с этим	3	5
119	заметить что	2	5
120	в то	8	5
121	в целом	5	5
122	тогда как	28	5
123	не было	9	5
124	например в	4	5
125	в его	9	5
126	его с	2	5
127	как правило	5	5
128	в особенности	5	5
129	не с	4	5
130	с другой	14	5
131	входит в	2	5
132	и к	4	5
133	отнюдь не	11	5
134	или даже	2	5
135	совпадают с	2	4
136	если в	2	4
137	и ее	5	4
138	под названием	2	4
139	они и	3	4
140	своего рода	15	4
141	отличие от	13	4
142	не столько	3	4
143	могут быть	5	4
144	и до	2	4
145	не на	3	4
146	во всяком	3	4
147	в основе	11	4
148	и от	2	4
149	по своему	3	4
150	а к	3	4
151	дело не	3	4
152	в отличие	13	4
153	но все	2	4
154	переход от	2	4
155	именно в	5	4
156	в котором	7	4
157	в своих	6	4
158	уже в	2	4
159	в ней	2	4
160	всяком случае	2	4
161	во всем	2	4
162	никогда не	3	3
163	чтобы не	2	3
164	своему происхождению	2	3
165	в одной	4	3
166	каждый из	2	3
167	в форме	2	3
168	то есть	29	3
169	с той	3	3
170	это и	2	3
171	в виду	2	3
172	тут же	3	3
173	в одно	2	3
174	или менее	2	3
175	представления о	2	3
176	они были	2	3
177	и это	3	3
178	более или	2	3
179	точки зрения	6	3
180	в различных	2	3
181	живет в	3	3
182	большинстве случаев	2	3
183	в области	3	3
184	в какой	2	3
185	в ее	4	3
186	них в	2	3
187	что с	2	3
188	и во	2	3
189	в своей	10	3
190	свою очередь	3	3
191	место в	2	3
192	хотя и	3	3
193	имеет место	4	3
194	и то	4	3
195	или не	2	3
196	это в	4	3
197	по отношению	13	3
198	в которой	2	3
199	чем у	2	3
200	из наиболее	2	3
201	на него	2	3
202	можно говорить	2	3
203	жизни в	4	3
204	отношению к	13	3
205	что касается	2	3
206	с одной	12	3
207	есть в	3	3
208	восходит к	4	3
209	не к	3	3
210	слова в	2	3
211	в русской	4	3
212	когда он	3	3
213	можно назвать	2	3
214	к числу	2	3
215	с точки	3	3
216	сводится к	7	3
217	и его	4	3
218	в период	2	3
219	тому же	5	3
220	в большинстве	3	3
221	быть и	2	3
222	при котором	2	3
223	время и	2	2
224	не имеют	2	2
225	в себе	22	2
226	и вообще	2	2
227	перед нами	4	2
228	не как	5	2
229	в силу	5	2
230	отношение к	6	2
231	и наконец	2	2
232	одним из	2	2
233	он видел	2	2
234	и тем	2	2
235	ни одно	2	2
236	в частности	18	2
237	в момент	2	2
238	самом деле	2	2
239	к различным	2	2
240	е годы	2	2
241	они не	2	2
242	точка зрения	3	2
243	и без	2	2
244	одной стороны	12	2
245	по этой	2	2
246	сказки о	3	2
247	в е	3	2
248	исходя из	3	2
249	здесь в	4	2
250	в сказке	3	2
251	себя и	2	2
252	можно сказать	7	2
253	по свидетельству	3	2
254	интерес к	2	2
255	для обозначения	4	2
256	для него	9	2
257	с его	9	2
258	и состоит	2	2
259	сказать что	4	2
260	пока еще	7	2
261	это еще	2	2
262	который по	3	2
263	он не	4	2
264	в сказках	2	2
265	другой стороны	5	2
266	и он	2	2
267	в начале	2	2
268	в равной	3	2
269	дело в	3	2
270	в каждом	2	2
271	должно быть	2	2
272	его как	3	2
273	и даже	4	2
274	целый ряд	2	2
275	как не	3	2
276	принадлежат к	3	2
277	этом отношении	4	2
278	не является	5	2
