N	2gram	Bakhtin_Fr	UchenyiS
1	и в	68	14
2	не только	21	10
3	а не	6	10
4	и не	25	8
5	прежде всего	23	8
6	то что	11	7
7	не может	5	7
8	в этом	28	7
9	может быть	10	6
10	перестает быть	2	5
11	то же	14	5
12	хотя бы	2	5
13	все это	6	5
14	в художественном	3	5
15	но и	17	4
16	в этой	15	4
17	с другой	8	4
18	в их	6	4
19	конечно не	4	4
20	у нас	4	3
21	в частности	4	3
22	для этого	3	3
23	это не	5	3
24	вряд ли	3	3
25	и то	2	3
26	в своей	11	3
27	все же	6	3
28	как и	17	3
29	в то	14	3
30	но в	20	3
31	же время	13	3
32	или точнее	2	3
33	было бы	4	3
34	в области	5	3
35	другой стороны	5	3
36	для него	7	3
37	в самом	6	2
38	в себе	5	2
39	и у	2	2
40	о чем	3	2
41	нас в	2	2
42	на эту	2	2
43	форму и	2	2
44	что он	7	2
45	таким образом	22	2
46	но не	4	2
47	ни от	2	2
48	и для	6	2
49	если бы	3	2
50	между тем	3	2
51	самом деле	5	2
52	только в	9	2
53	одним из	2	2
54	ничего не	4	2
55	всех этих	5	2
56	даже и	3	2
57	и с	15	2
58	тех или	2	2
59	но конечно	5	2
60	что и	3	2
61	или иных	2	2
62	меньшей степени	2	2
63	но даже	2	2
64	смысле этого	2	2
65	это было	2	2
66	превращается в	4	2
67	сих пор	6	2
68	тем что	6	2
69	том что	6	2
70	в его	21	2
71	это уже	2	2
72	все они	5	2
73	в том	12	2
74	что все	2	2
75	этом отношении	4	2
76	с его	6	2
77	как раз	8	2
78	представляется нам	2	2
79	конце концов	3	2
80	но это	5	2
81	не в	2	2
82	в конце	8	2
83	в системе	3	2
84	мы не	3	2
85	до сих	6	2
