N	2gram	Savitsky_P	Problema
1	и в	14	182
2	и не	12	152
3	то что	4	144
4	не только	17	104
5	потому что	3	89
6	в этом	10	88
7	может быть	5	82
8	том что	4	81
9	в том	9	81
10	только в	7	73
11	но и	6	70
12	в виде	2	69
13	по себе	4	64
14	не менее	2	58
15	а не	2	56
16	но в	9	55
17	для нас	2	50
18	отнюдь не	2	48
19	в себе	3	48
20	было бы	6	46
21	прежде всего	3	45
22	что в	4	44
23	в его	2	44
24	не в	5	43
25	как раз	2	42
26	то же	9	42
27	что мы	3	40
28	не может	4	39
29	и тем	2	39
30	как бы	4	39
31	никак не	2	37
32	хотя бы	8	37
33	того что	2	37
34	в нем	3	37
35	есть нечто	2	36
36	точки зрения	3	36
37	и т	3	35
38	и с	2	34
39	в то	7	32
40	но не	3	32
41	в своем	4	31
42	все это	2	31
43	с другой	5	30
44	и о	5	28
45	мы не	3	28
46	а в	4	28
47	и как	3	27
48	и это	2	27
49	хотя и	3	27
50	это не	3	26
51	да и	2	26
52	тем самым	3	25
53	с точки	3	25
54	тем более	2	24
55	с тем	3	24
56	есть не	2	23
57	в качестве	9	23
58	и если	4	22
59	и есть	2	22
60	есть в	2	22
61	и к	4	22
62	мы должны	4	21
63	и без	3	21
64	а также	4	21
65	говорить о	2	21
66	и потому	4	20
67	для того	3	20
68	именно в	2	20
69	в отношении	10	19
70	если бы	4	19
71	в них	2	19
72	в ее	2	18
73	не было	2	18
74	в ней	6	18
75	во всех	2	17
76	же в	4	16
77	в частности	2	15
78	с этим	2	15
79	в котором	4	14
80	в области	11	13
81	сами по	3	13
82	из них	2	13
83	не будем	2	12
84	с одной	3	12
85	для них	2	12
86	в начале	2	12
87	в смысле	6	12
88	не о	2	11
89	тот же	3	11
90	одной стороны	3	11
91	заключается в	3	11
92	между прочим	2	9
93	в сравнении	3	9
94	именно как	2	9
95	в которых	5	9
96	не нужно	2	9
97	сравнении с	3	9
98	в жизни	2	9
99	м а	2	8
100	если в	2	8
101	в силу	2	8
102	является в	2	8
103	во всей	2	8
104	она есть	3	7
105	значительной мере	2	7
106	в значительной	2	7
107	еще более	2	7
108	а н	5	6
109	в статье	2	6
110	в порядке	3	6
111	которую мы	2	6
112	стороны и	2	6
113	в общем	2	6
114	могут быть	3	6
115	не к	2	6
116	как на	2	6
117	отношения к	2	6
118	и пусть	2	5
119	слова но	2	5
120	одна из	2	5
121	сводится к	3	5
122	между тем	3	5
123	том числе	2	5
124	iii в	2	5
125	и весьма	2	5
126	должно быть	2	5
127	в пределах	8	5
128	наряду с	3	4
129	начала и	2	4
130	в эту	2	4
131	которое в	2	4
132	но о	2	4
133	но к	2	4
134	духа и	2	4
135	что из	2	4
136	xix века	6	4
137	например в	2	4
138	и пр	5	4
139	в русской	4	4
140	на путях	4	4
141	может и	2	3
142	по сравнению	2	3
143	мысль о	2	3
144	думать что	2	3
145	столь же	3	3
146	в последние	2	3
147	о в	5	3
148	друг другу	2	3
149	и других	2	3
150	помнить что	2	3
151	в европе	2	3
152	со стороны	2	3
153	может ли	2	3
154	в россии	3	3
155	время в	2	3
156	не столько	2	3
157	с ними	3	3
158	г и	2	3
159	и мы	2	3
160	т е	3	3
161	для тех	2	3
162	она ни	2	3
163	я и	3	3
164	потому в	2	2
165	россии как	3	2
166	тех кто	4	2
167	о и	2	2
168	здесь нужно	2	2
169	и г	2	2
170	в с	4	2
171	и и	2	2
172	а я	5	2
173	россии в	5	2
174	о с	2	2
175	и вот	2	2
176	с с	2	2
177	ней не	2	2
178	образом на	2	2
179	россии и	4	2
180	вслед за	3	2
181	нужно было	2	2
182	исключительно в	2	2
183	но также	4	2
184	н а	10	2
185	большей степени	4	2
186	сколько бы	2	2
187	эта идея	2	2
188	ii в	2	2
189	бы ни	2	2
