N	3gram	Bakhtin_Pr	Morfolog
1	мы видим что	2	11
2	не может быть	8	9
3	по отношению к	17	7
4	с точки зрения	21	6
5	подобно тому как	5	5
6	то перед нами	2	5
7	с другой стороны	3	5
8	на самом деле	4	4
9	но все же	3	4
10	в том что	10	4
11	о том что	5	3
12	бы то ни	3	3
13	то время как	2	3
14	в то время	3	3
15	для того чтобы	3	3
16	в большинстве случаев	3	3
17	мы имеем в	2	2
18	это не значит	3	2
19	во всяком случае	3	2
20	то ни было	2	2
21	в данном случае	3	2
22	он может быть	2	2
23	не входит в	3	2
24	в этом отношении	7	2
25	друг к другу	4	2
26	оно может быть	2	2
27	можно было бы	4	2
