N	3gram	Tiupa_Teor	Marksizm
1	с точки зрения	3	46
2	не может быть	5	25
3	в самом деле	2	19
4	в то же	8	15
5	по отношению к	10	15
6	то же время	8	15
7	в связи с	3	14
8	в том что	10	14
9	бы то ни	2	12
10	то ни было	2	12
11	для того чтобы	5	11
12	в отличие от	7	10
13	одного и того	4	9
14	но в то	2	9
15	и того же	4	9
16	может быть и	2	8
17	в отношении к	2	8
18	с другой стороны	6	7
19	в свою очередь	3	7
20	всех без исключения	3	6
21	с одной стороны	3	6
22	той или иной	3	5
23	в таком случае	2	5
24	к тому что	2	5
25	том что он	2	4
26	можно сказать что	3	4
27	и то же	2	3
28	тем не менее	3	3
29	более или менее	6	3
30	в данном контексте	2	3
31	в том числе	3	3
32	не могут быть	2	3
33	одно и то	2	3
34	в данный момент	2	3
35	том числе и	2	3
36	в значительной степени	2	3
37	внутренней и внешней	2	2
38	в коем случае	2	2
39	до известной степени	2	2
40	отношение знака к	3	2
41	ни в коем	2	2
42	в противном случае	2	2
43	в данном случае	5	2
44	как и в	2	2
45	и в самом	2	2
46	сама по себе	2	2
47	тот или иной	3	2
48	в знаковом материале	3	2
49	ту или иную	2	2
50	в нашем случае	2	2
51	так или иначе	5	2
52	в этом смысле	3	2
53	того или иного	6	2
