N	3gram	Bakhtin_sl	Myshleni
1	в том что	4	133
2	с точки зрения	11	89
3	мышления и речи	2	69
4	по отношению к	2	42
5	с одной стороны	7	39
6	друг с другом	2	35
7	в этом отношении	2	30
8	можно было бы	2	28
9	в этом случае	4	27
10	с другой стороны	5	26
11	в собственном смысле	2	26
12	о том что	2	25
13	не может быть	11	23
14	к тому что	2	22
15	в то время	2	22
16	в зависимости от	4	22
17	не только не	2	21
18	то время как	2	20
19	как уже сказано	2	20
20	в отличие от	12	18
21	во всяком случае	7	18
22	до сих пор	4	17
23	как мы видели	2	17
24	в связи с	2	17
25	в известном смысле	2	15
26	в данном случае	3	15
27	в свою очередь	3	14
28	между словом и	4	14
29	тем не менее	2	12
30	одно и то	2	12
31	и то же	2	12
32	как мы уже	4	11
33	одной стороны и	2	10
34	на каждом шагу	2	10
35	сама по себе	2	9
36	более или менее	5	9
37	как и в	2	9
38	не могут быть	3	8
39	свое выражение в	3	8
40	той или иной	13	8
41	в первом случае	2	7
42	включает в себя	3	7
43	в лучшем случае	3	6
44	и не может	2	6
45	в том и	2	6
46	не может не	5	5
47	в то же	15	5
48	и в этом	2	5
49	не только в	3	5
50	прямо и непосредственно	4	4
51	но и в	2	4
52	которых мы говорили	2	4
53	таким образом в	4	4
54	тем и другим	2	4
55	так и в	5	4
56	то же слово	2	4
57	в значительной степени	6	4
58	о которых мы	2	4
59	в основе их	2	3
60	оно не может	3	3
61	или во всяком	2	3
62	а следовательно и	2	3
63	хотя бы и	5	3
64	того или иного	2	3
65	а не как	2	3
66	и во всех	2	3
67	до последнего времени	2	3
68	то же время	15	3
69	и в другом	2	3
70	и не могут	2	3
71	там где они	3	3
72	на ту же	2	2
73	во всех этих	2	2
74	мы не знаем	2	2
75	один из важнейших	2	2
76	до известной степени	3	2
77	но в этом	2	2
78	точки зрения на	4	2
79	таким образом на	2	2
80	и с другой	2	2
81	и там где	5	2
82	в большинстве случаев	11	2
83	в той или	12	2
84	никогда не может	2	2
85	выходит за пределы	3	2
86	в другом случае	3	2
87	точки зрения самого	2	2
88	в их основе	2	2
89	во всех областях	4	2
