N	3gram	Tiupa_Teor	slovoVRo
1	не может быть	5	19
2	в то же	8	18
3	то же время	8	18
4	той или иной	3	15
5	с точки зрения	3	15
6	в отличие от	7	14
7	в отношении к	2	12
8	с одной стороны	3	11
9	более или менее	6	9
10	но в то	2	7
11	в значительной степени	2	7
12	с другой стороны	6	6
13	и в то	2	6
14	в том что	10	5
15	может быть и	2	5
16	по отношению к	10	5
17	для того чтобы	5	4
18	можно сказать что	3	4
19	в свою очередь	3	4
20	не могут быть	2	4
21	одно и то	2	3
22	до известной степени	2	3
23	к тому что	2	3
24	и то же	2	3
25	включает в себя	2	3
26	как и в	2	3
27	в данном случае	5	3
28	в связи с	3	3
29	того или иного	6	3
30	тех или иных	3	3
31	сама по себе	2	3
32	не только не	2	2
33	тот или иной	3	2
34	в известном смысле	2	2
35	этой точки зрения	2	2
36	с этой точки	2	2
37	тем не менее	3	2
