N	3gram	Propp_Morf	RusskieA
1	в том что	4	49
2	состоит в том	3	29
3	и т д	60	21
4	тем не менее	6	14
5	в этом случае	10	12
6	о том что	3	10
7	и в других	2	9
8	в данном случае	2	8
9	для того чтобы	3	8
10	подобно тому как	5	8
11	в настоящее время	3	7
12	как мы увидим	5	7
13	не может быть	9	6
14	в связи с	9	5
15	к тому что	4	5
16	не что иное	2	4
17	во всяком случае	2	4
18	в то время	3	4
19	можно было бы	2	4
20	мы не будем	2	4
21	что иное как	2	4
22	в этих случаях	14	4
23	более или менее	2	3
24	по отношению к	7	3
25	может быть и	2	3
26	с точки зрения	6	3
27	далеко не все	3	3
28	друг к другу	2	3
29	мы уже видели	2	3
30	на то что	3	3
31	на самом деле	4	2
32	тех случаях когда	2	2
33	в тех случаях	2	2
34	можно сделать из	2	2
35	в этом отношении	2	2
36	в большинстве случаев	3	2
37	с этого момента	2	2
38	мы увидим ниже	6	2
39	о том как	2	2
40	можно показать что	2	2
41	как и в	3	2
42	это не значит	2	2
43	не значит что	3	2
44	вопрос о том	2	2
45	с одной стороны	2	2
46	дело не в	2	2
47	мы увидим что	2	2
48	есть и другие	2	2
49	но так как	2	2
50	с другой стороны	5	2
51	это еще не	2	2
52	для наших целей	2	2
53	но все же	4	2
