N	3gram	Medvedev_V	Narrotol
1	в том что	5	18
2	не только в	2	13
3	по отношению к	7	11
4	о том что	3	9
5	в то же	5	8
6	в этом отношении	14	8
7	то же время	5	8
8	не может быть	8	8
9	можно сказать что	4	6
10	с одной стороны	2	6
11	подобно тому как	3	5
12	для того чтобы	3	5
13	к тому что	4	4
14	во всяком случае	2	4
15	в конечном счете	5	4
16	в этом и	2	3
17	и не может	2	3
18	иметь в виду	2	3
19	в связи с	4	3
20	до сих пор	2	3
21	в зависимости от	5	3
22	не только не	2	2
23	более или менее	6	2
24	не в том	2	2
25	которая не может	2	2
26	можно было бы	2	2
27	в частности в	2	2
28	и т п	9	2
29	и в то	3	2
30	следует иметь в	2	2
31	бы и не	3	2
