N	3gram	Vygotskiy_	EvropaiE
1	с точки зрения	11	16
2	с одной стороны	6	8
3	в том что	20	6
4	этой точки зрения	2	5
5	для того чтобы	17	5
6	с этой точки	2	5
7	так же как	2	5
8	и в этом	6	4
9	того или иного	2	4
10	во всяком случае	6	3
11	между тем в	2	3
12	можно было бы	6	3
13	друг с другом	2	3
14	то что в	5	2
15	в данном случае	5	2
16	к тому чтобы	4	2
17	с другой стороны	5	2
18	только в том	5	2
19	очевидно что в	2	2
20	на то что	16	2
21	дело идет о	2	2
22	как мы видели	2	2
23	заключается в том	10	2
24	в свою очередь	3	2
25	не может быть	3	2
26	имеет место в	2	2
