N	3gram	Vygotskiy_	VeschiIm
1	это значит что	6	25
2	не может быть	5	24
3	не что иное	2	12
4	что иное как	2	12
5	содержит в себе	2	11
6	тем не менее	6	11
7	в том что	41	9
8	в самом деле	4	7
9	на то что	5	7
10	по сравнению с	4	7
11	то и другое	5	6
12	с точки зрения	11	6
13	одно и то	6	5
14	и то же	6	5
15	в свою очередь	3	5
16	и то что	3	5
17	с этой точки	4	4
18	более или менее	3	4
19	то время как	5	4
20	этой точки зрения	4	4
21	сам по себе	2	4
22	о том что	3	4
23	в то время	5	4
24	само по себе	3	4
25	мы не можем	2	3
26	из того что	3	3
27	то что мы	2	3
28	в собственном смысле	12	3
29	можно было бы	8	3
30	вместе с тем	11	3
31	заключается в том	18	3
32	с одной стороны	8	3
33	с другой стороны	5	3
34	указывает на то	2	3
35	сами по себе	4	3
36	все же не	2	3
37	мы видели что	4	3
38	во всяком случае	10	2
39	в этом и	2	2
40	бы сказать что	5	2
41	не мог бы	3	2
42	для того чтобы	14	2
43	в этом отношении	9	2
44	хотя бы и	2	2
45	в связи с	8	2
46	мы видим что	2	2
47	так же как	9	2
48	друг с другом	10	2
49	в этом смысле	7	2
50	той и другой	2	2
51	и в этом	2	2
52	в свое время	2	2
53	в том чтобы	2	2
