N	3gram	Bakhtin_fo	Morfolog
1	и т д	3	60
2	не может быть	4	9
3	в связи с	12	9
4	по отношению к	3	7
5	с точки зрения	9	6
6	а также и	3	5
7	наряду с этим	3	5
8	как мы увидим	2	5
9	связи с этим	4	5
10	но все же	3	4
11	в том что	4	4
12	о том что	2	3
13	то время как	2	3
14	в то время	3	3
15	как и в	3	3
16	для того чтобы	11	3
17	в большинстве случаев	2	3
18	мы имеем в	2	2
19	и в других	4	2
20	к вопросу о	2	2
21	в данном случае	2	2
22	в этом отношении	5	2
23	друг за другом	2	2
24	друг к другу	2	2
25	о том как	2	2
26	может быть и	4	2
27	под углом зрения	2	2
28	друг на друга	4	2
29	с одной стороны	3	2
