N	2gram	Losev_Vesc	formyVre
1	и в	44	148
2	в этом	17	73
3	то есть	2	70
4	в нем	6	51
5	прежде всего	17	46
6	и т	37	40
7	и не	57	37
8	в его	5	36
9	и его	4	36
10	вовсе не	11	35
11	но и	19	33
12	то же	12	32
13	не только	48	32
14	но в	8	31
15	жизни и	6	31
16	так и	4	29
17	может быть	37	27
18	не в	14	26
19	как мы	6	26
20	как и	15	25
21	как бы	19	25
22	мы уже	3	24
23	точки зрения	10	24
24	в то	11	23
25	только в	23	23
26	то что	47	22
27	в том	15	22
28	жизни в	3	21
29	все эти	5	21
30	во всех	5	21
31	же время	4	21
32	в своем	9	19
33	и для	13	19
34	и на	2	19
35	у него	3	18
36	и все	6	18
37	по существу	3	18
38	еще не	12	18
39	таким образом	16	18
40	человека и	3	17
41	с этим	4	17
42	так как	17	17
43	в особенности	3	17
44	все же	18	16
45	того же	5	16
46	и во	3	16
47	в основе	4	16
48	не может	44	16
49	и их	11	16
50	никогда не	5	15
51	в разных	6	15
52	в одном	6	15
53	с точки	6	15
54	с его	2	15
55	вместе с	4	15
56	так же	4	14
57	все это	7	14
58	и как	12	14
59	в конце	3	14
60	и с	11	14
61	как раз	16	14
62	а не	34	14
63	в их	4	13
64	в частности	3	13
65	а в	6	13
66	с другом	2	13
67	того чтобы	4	13
68	друг с	2	13
69	для того	3	13
70	как в	3	13
71	в котором	4	13
72	в самом	13	13
73	с ним	8	13
74	ничего не	12	12
75	отнюдь не	8	12
76	в истории	3	12
77	не было	4	12
78	и до	6	12
79	конечно не	2	12
80	но не	9	12
81	потому что	25	12
82	он не	4	12
83	что в	11	12
84	его в	8	11
85	и у	4	11
86	между ними	6	11
87	в ней	14	11
88	хотя и	5	11
89	ни в	11	11
90	из них	7	11
91	уже в	2	11
92	вещей и	12	10
93	здесь не	2	10
94	в ее	8	10
95	тот же	4	10
96	кроме того	5	10
97	и другие	2	10
98	также и	9	10
99	уже не	15	10
100	и того	2	10
101	к себе	4	9
102	на этой	2	9
103	и следовательно	20	9
104	жизнь и	2	9
105	наряду с	2	9
106	том что	13	9
107	и явлений	4	9
108	должно быть	8	9
109	и даже	12	9
110	и это	17	9
111	с другой	8	9
112	для него	8	9
113	но все	3	9
114	есть в	4	9
115	в самой	3	9
116	их в	6	9
117	оно не	6	9
118	отношения к	3	9
119	это не	9	8
120	для себя	6	8
121	и прежде	2	8
122	и потому	8	8
123	к тому	3	8
124	отношение к	4	8
125	в целом	3	8
126	один из	5	8
127	что и	11	8
128	во всяком	4	8
129	и то	14	8
130	время как	4	8
131	но эти	2	8
132	в результате	9	8
133	если бы	8	8
134	мы еще	2	8
135	с одной	3	8
136	в жизни	5	8
137	в виду	2	8
138	в себе	23	7
139	не как	2	7
140	у них	2	7
141	того что	16	7
142	между собой	2	7
143	в той	6	7
144	было бы	24	7
145	себя и	8	7
146	к этому	2	7
147	в которой	5	7
148	поэтому и	2	7
149	с ее	10	7
150	т д	36	7
151	этом отношении	2	7
152	еще более	4	7
153	нет ничего	2	7
154	то время	4	7
155	в себя	13	7
156	но он	2	7
157	в отношении	7	6
158	и ее	19	6
159	есть и	13	6
160	есть не	17	6
161	но эта	2	6
162	с самим	4	6
163	здесь как	2	6
164	с тем	8	6
165	ту же	2	6
166	одной стороны	3	6
167	мы видим	5	6
168	в качестве	4	6
169	сказать что	21	6
170	только и	8	6
171	мы не	8	6
172	мы можем	4	6
