N	3gram	Tiupa_Narr	Hudozhes
1	по отношению к	5	10
2	не сводится к	7	9
3	в том что	11	8
4	присутствия в мире	2	7
5	в то же	7	7
6	я в мире	3	7
7	в отличие от	6	7
8	то же время	7	7
9	присутствия я в	2	6
10	более или менее	2	6
11	в конечном счете	4	5
12	состоит в том	5	5
13	для того чтобы	4	5
14	той или иной	6	5
15	так и не	2	4
16	того или иного	3	4
17	не может быть	6	4
18	одно и то	2	3
19	по сути дела	2	3
20	и то же	2	3
21	с точки зрения	2	3
22	с одной стороны	5	3
23	тем не менее	6	3
24	подобно тому как	4	3
25	в связи с	3	3
26	можно сказать что	5	3
27	и того же	2	3
28	одного и того	2	3
29	тем или иным	2	2
30	и в то	2	2
31	в известном смысле	4	2
32	войне и мире	2	2
33	начало и конец	3	2
34	в самом деле	3	2
35	мы имеем дело	4	2
36	к тому что	4	2
37	в войне и	2	2
38	в равной степени	3	2
39	а с другой	2	2
40	в свою очередь	2	2
41	не могло быть	2	2
42	по большей части	5	2
