N	2gram	Vinokur_St	Problema
1	и в	61	182
2	то есть	2	165
3	и не	23	152
4	вовсе не	24	145
5	то что	27	144
6	не только	36	104
7	потому что	13	89
8	в этом	37	88
9	может быть	16	82
10	том что	49	81
11	в том	56	81
12	не просто	2	80
13	только в	11	73
14	сказать что	9	72
15	но и	28	70
16	в виде	3	69
17	у нас	12	68
18	также и	10	68
19	и даже	8	66
20	по себе	3	64
21	даже и	2	63
22	не менее	8	58
23	о том	30	57
24	так и	15	56
25	тем не	4	56
26	а не	19	56
27	но в	16	55
28	так что	8	52
29	ни в	5	51
30	для нас	7	50
31	и вообще	5	48
32	в себе	3	48
33	при помощи	4	47
34	было бы	21	46
35	в своей	12	45
36	прежде всего	11	45
37	что в	41	44
38	в его	19	44
39	все эти	7	43
40	не в	15	43
41	таким образом	16	42
42	как раз	10	42
43	то же	7	42
44	а именно	3	42
45	так как	7	40
46	что мы	5	40
47	и то	6	40
48	что он	23	40
49	и что	8	40
50	не может	10	39
51	в этой	13	39
52	такого рода	2	39
53	и тем	3	39
54	во всяком	8	39
55	как бы	8	39
56	в данном	16	38
57	хотя бы	8	37
58	того что	14	37
59	в нем	9	37
60	еще не	4	36
61	точки зрения	16	36
62	и все	3	36
63	и т	36	35
64	в виду	6	34
65	и с	6	34
66	как и	11	34
67	не является	5	33
68	в таком	4	33
69	т д	25	33
70	в то	10	32
71	но не	5	32
72	в своем	8	31
73	в конце	5	31
74	связи с	3	31
75	все это	13	31
76	что такое	2	31
77	так же	7	31
78	но это	9	31
79	ясно что	10	30
80	с другой	11	30
81	и для	4	30
82	в настоящее	2	30
83	настоящее время	2	30
84	все же	12	29
85	об этом	9	29
86	можно сказать	2	29
87	данном случае	7	28
88	и о	4	28
89	что же	6	28
90	есть только	2	28
91	мы не	3	28
92	а в	18	28
93	и как	2	27
94	ничего не	6	27
95	и это	4	27
96	хотя и	4	27
97	ничего общего	3	27
98	еще и	5	26
99	по крайней	2	26
100	в результате	5	26
101	как будто	5	26
102	вместе с	5	26
103	это не	8	26
104	крайней мере	2	26
105	да и	4	26
106	другой стороны	9	26
107	и его	11	26
108	тем самым	2	25
109	с точки	10	25
110	и на	7	25
111	всяком случае	8	25
112	на самом	8	24
113	тем более	4	24
