N	3gram	Bakhtin_KF	KulturaY
1	с точки зрения	10	36
2	в том что	2	33
3	тем не менее	2	19
4	по отношению к	22	13
5	не может быть	11	11
6	в этом смысле	3	10
7	того или иного	3	9
8	на самом деле	3	8
9	в то же	2	6
10	той или иной	2	6
11	то же время	2	6
12	в соответствии с	2	5
13	то или иное	2	5
14	и в этом	3	5
15	мы говорим о	2	4
16	уже не может	2	3
17	между тем как	3	2
18	бы то ни	2	2
19	ни в каком	2	2
20	и тот же	3	2
21	в целом и	2	2
22	может быть только	7	2
23	один и тот	3	2
24	со стороны ее	2	2
25	в ее целом	3	2
26	в данный момент	3	2
