N	3gram	Bakhtin_Fr	RusskieA
1	в том что	2	49
2	о том что	3	10
3	в других местах	3	10
4	и в других	3	9
5	в данном случае	3	8
6	для того чтобы	5	8
7	подобно тому как	2	8
8	в настоящее время	2	7
9	как мы видели	4	6
10	не может быть	2	6
11	в связи с	5	5
12	во всяком случае	2	4
13	можно было бы	2	4
14	как мы уже	8	4
15	в отличие от	3	4
16	по отношению к	2	3
17	может быть и	2	3
18	по улицам и	2	3
19	с точки зрения	4	3
20	до сих пор	6	3
21	в своей книге	3	3
22	в свою очередь	2	3
23	некоторые из них	3	2
24	на самом деле	5	2
25	можно сказать что	2	2
26	в этом отношении	4	2
27	в большинстве случаев	3	2
28	как и в	2	2
29	не только в	3	2
30	с одной стороны	4	2
31	только во время	2	2
32	с другой стороны	5	2
33	но все же	2	2
