N	2gram	Propp_Isto	UchenyiS
1	и в	41	14
2	не только	30	10
3	а не	9	10
4	и не	12	8
5	прежде всего	6	8
6	то что	12	7
7	не может	19	7
8	в этом	19	7
9	может быть	19	6
10	и только	4	5
11	то же	12	5
12	все это	9	5
13	но и	20	4
14	в этой	2	4
15	что такое	2	4
16	с другой	20	4
17	в их	4	4
18	конечно не	2	4
19	у нас	4	3
20	в частности	3	3
21	это не	14	3
22	и то	3	3
23	в своей	4	3
24	все же	14	3
25	как и	8	3
26	в то	6	3
27	но в	7	3
28	и формы	3	3
29	было бы	4	3
30	в области	3	3
31	другой стороны	17	3
32	в самом	2	2
33	в себе	3	2
34	что мы	3	2
35	и у	3	2
36	о чем	2	2
37	же не	2	2
38	что он	29	2
39	таким образом	15	2
40	формы и	2	2
41	но не	8	2
42	если бы	3	2
43	не все	4	2
44	только в	10	2
45	а его	3	2
46	что она	6	2
47	ничего не	7	2
48	всех этих	6	2
49	и с	4	2
50	не случайно	3	2
51	но конечно	2	2
52	что и	13	2
53	могут быть	3	2
54	на первый	6	2
55	и через	2	2
56	не могут	3	2
57	превращается в	10	2
58	сих пор	5	2
59	по себе	2	2
60	тем что	11	2
61	том что	18	2
62	а как	2	2
63	в его	4	2
64	сводится к	3	2
65	в том	14	2
66	если не	4	2
67	с его	4	2
68	должна быть	3	2
69	но это	5	2
70	по существу	5	2
71	не в	12	2
72	в конце	4	2
73	в некоторых	2	2
74	мы не	10	2
75	до сих	4	2
76	не столько	4	2
