N	2gram	Propp_Russ	KFilosof
1	может быть	14	45
2	в его	3	42
3	в нем	3	32
4	не может	6	29
5	и не	6	28
6	и в	59	28
7	в котором	2	24
8	и его	2	18
9	только в	4	18
10	в своем	3	17
11	а не	3	17
12	в этом	18	15
13	не в	2	13
14	точки зрения	3	13
15	но не	7	12
16	и это	2	12
17	к нему	3	12
18	во всех	6	11
19	все эти	5	11
20	это не	14	10
21	в целом	2	10
22	и для	3	10
23	все это	12	10
24	с точки	3	10
25	в их	5	9
26	но и	20	9
27	как бы	18	9
28	и все	4	9
29	не было	3	8
30	было бы	3	8
31	и здесь	3	7
32	должен быть	2	7
33	то что	10	7
34	уже не	9	7
35	отнюдь не	3	7
36	что и	8	7
37	во всем	2	7
38	ее и	2	6
39	должно быть	2	6
40	но эта	2	6
41	в том	33	6
42	но все	3	6
43	не имеет	9	6
44	место в	2	6
45	и их	4	6
46	и действительно	2	6
47	но это	5	6
48	не значит	2	6
49	его в	9	5
50	все же	7	5
51	не только	28	5
52	мы имеем	7	5
53	его как	2	5
54	то же	6	5
55	ни одно	2	5
56	еще не	7	5
57	а в	16	5
58	но в	5	5
59	как и	19	5
60	ко всему	2	5
61	именно в	3	5
62	в одном	4	5
63	там где	3	5
64	себя и	2	5
65	с ним	2	5
66	что это	4	4
67	нет в	2	4
68	но можно	2	4
69	том что	33	4
70	что в	35	4
71	прежде всего	2	4
72	здесь мы	3	4
73	к ним	4	4
74	с другим	2	4
75	в своих	3	4
76	входит в	4	4
77	для нас	12	4
78	с ними	6	4
79	при этом	11	4
80	только как	2	4
81	во всей	2	4
82	между тем	9	4
83	до конца	5	3
84	ничего не	4	3
85	и должна	2	3
86	в то	3	3
87	на самом	3	3
88	всех этих	2	3
89	в каждом	2	3
90	тем что	7	3
91	та же	4	3
92	для того	6	3
93	в виду	3	3
94	и пр	4	3
95	по своему	2	3
96	для этой	3	3
97	не менее	3	3
98	независимо от	3	3
99	только с	2	3
100	о том	14	3
101	мы здесь	2	3
102	что этот	4	3
103	в ней	3	3
104	в свою	3	3
105	могут быть	3	3
106	тогда когда	4	3
107	и на	14	3
108	того что	6	3
109	мы не	11	3
110	тот же	2	3
111	быть и	3	3
112	и то	2	2
113	с этого	7	2
114	для этого	6	2
115	только по	2	2
116	и потому	3	2
117	в данном	7	2
118	его к	3	2
119	вокруг него	2	2
120	его с	4	2
121	говорить о	2	2
122	и ее	3	2
123	к этому	7	2
124	дело не	2	2
125	вопрос о	4	2
126	в это	4	2
127	из нее	2	2
128	тем не	3	2
129	и как	2	2
130	в виде	10	2
131	и других	9	2
132	в области	3	2
133	а с	6	2
134	что он	2	2
135	под ним	2	2
136	из которых	2	2
137	и за	2	2
138	так и	8	2
139	жизнь и	2	2
140	его и	2	2
141	что есть	2	2
142	в жизни	2	2
143	с тем	14	2
144	как в	10	2
145	от этого	2	2
146	думать что	3	2
147	в него	2	2
148	тому что	4	2
149	она не	4	2
150	но есть	3	2
151	ни одна	2	2
152	оно не	2	2
153	вся эта	2	2
154	нечто вроде	2	2
155	ее от	2	2
156	один из	10	2
157	потому что	15	2
158	и всех	2	2
159	и под	4	2
160	того чтобы	6	2
161	общего не	2	2
162	слова в	3	2
163	в качестве	5	2
164	ничего общего	3	2
165	но ни	2	2
166	этого слова	3	2
167	в этой	4	2
