N	3gram	Propp_Morf	Stilisti
1	для того чтобы	3	7
2	с точки зрения	6	5
3	в этом случае	10	3
4	на самом деле	4	3
5	мы уже видели	2	3
6	которое может быть	2	3
7	но все же	4	3
8	в связи с	9	2
9	мы увидим что	2	2
10	что иное как	2	2
11	к чему не	2	2
12	в тех случаях	2	2
13	в этом отношении	2	2
14	к тому что	4	2
15	для наших целей	2	2
16	как мы увидим	5	2
17	тех случаях когда	2	2
18	по отношению к	7	2
19	на первый взгляд	3	2
20	о том что	3	2
21	ни к чему	2	2
22	мы видим что	11	2
23	связи с этим	5	2
24	не что иное	2	2
25	не может быть	9	2
