N	3gram	Propp_Isto	FransuaR
1	до сих пор	7	27
2	в том числе	3	27
3	в том что	4	27
4	для того чтобы	3	17
5	о том что	5	17
6	том числе и	2	17
7	как мы видели	2	16
8	в связи с	6	16
9	но и в	2	15
10	не может быть	6	13
11	с одной стороны	7	13
12	с другой стороны	10	12
13	в данном случае	2	10
14	как и в	4	10
15	не только в	2	10
16	по отношению к	2	9
17	так и в	2	9
18	мы видим что	4	9
19	мы видели что	2	8
20	таким образом в	2	8
21	после того как	4	8
22	во всех этих	2	7
23	подобно тому как	2	7
24	о том как	4	7
25	в то время	3	7
26	и в особенности	2	6
27	но все же	6	6
28	мы имеем в	2	5
29	в это время	2	5
30	и целый ряд	2	5
31	друг с другом	2	5
32	потому что он	5	5
33	как мы увидим	4	4
34	в нем и	3	4
35	что и в	3	4
36	это уже не	2	4
37	так же как	10	4
38	мы видим здесь	3	4
39	на этот вопрос	2	4
40	в других местах	2	4
41	и то что	3	4
42	но это не	2	3
43	с представлением о	4	3
44	вместе с тем	7	3
45	здесь как и	2	3
46	в особенности в	2	3
47	целый ряд других	2	3
48	но уже в	2	2
49	только тогда когда	2	2
50	с представлениями о	2	2
51	мы видели и	3	2
52	совершенно так же	3	2
53	в таких случаях	2	2
54	мы не знаем	2	2
55	мы знаем что	8	2
56	не потому что	2	2
57	так как он	2	2
58	в этом случае	13	2
59	такие выражения как	2	2
60	же как и	4	2
61	то что он	2	2
62	и вместе с	3	2
63	мы не будем	3	2
64	мы уже видели	2	2
65	что у него	2	2
66	в том чтобы	2	2
