N	2gram	Berdyaev_N	TeoriaLi
1	в мире	3	26
2	не только	5	24
3	и в	16	24
4	может быть	7	22
5	в том	8	20
6	и не	11	17
7	а в	2	15
8	но и	3	14
9	так и	2	14
10	а не	17	14
11	в себе	2	14
12	такого рода	2	13
13	но не	2	13
14	в этом	7	12
15	но в	2	12
16	том что	2	11
17	лишь в	6	10
18	как это	2	10
19	что в	9	10
20	не в	6	9
21	с другой	3	9
22	в то	2	9
23	не может	16	8
24	в своей	3	8
25	себя в	2	7
26	место в	2	7
27	и т.п	2	7
28	в нем	5	7
29	другой стороны	2	6
30	не менее	4	6
31	еще не	3	6
32	то что	4	6
33	как и	7	6
34	уже не	2	6
35	в ее	3	6
36	в основе	3	6
37	с его	6	6
38	как в	3	5
39	ни в	6	5
40	могут быть	2	5
41	жизни как	2	5
42	того чтобы	2	5
43	он не	8	5
44	никогда не	6	4
45	сказать что	3	4
46	это не	4	4
47	по своему	4	4
48	к тому	3	4
49	мира и	2	4
50	и что	2	4
51	с ее	5	4
52	не знает	6	4
53	хотя и	2	4
54	и потому	4	3
55	во всех	3	3
56	одной стороны	2	3
57	и для	4	3
58	роль в	2	3
59	подобно тому	3	3
60	ни к	2	3
61	с одной	2	3
62	есть в	2	3
63	в жизни	5	3
64	культуры в	5	3
65	потому что	4	3
66	тому как	3	3
67	прежде всего	4	3
68	и к	5	3
69	к содержанию	2	3
70	этом смысле	2	3
71	не будет	7	3
72	все эти	2	3
73	нового времени	12	3
74	но она	2	2
75	не могли	2	2
76	так же	2	2
77	человека и	3	2
78	что она	2	2
79	с их	2	2
80	за пределы	3	2
81	это было	3	2
82	и даже	2	2
83	к более	2	2
84	это и	2	2
85	времени и	2	2
86	жизни в	3	2
87	у него	2	2
88	вместе с	2	2
89	на уровне	2	2
90	и это	2	2
91	о том	4	2
92	что такое	3	2
93	в мировой	2	2
94	должен быть	5	2
95	и на	2	2
96	в них	4	2
97	к жизни	3	2
98	духовной жизни	2	2
99	все это	5	2
100	более не	2	2
101	времени в	2	2
102	как будто	2	2
103	который в	2	2
104	я не	2	2
105	xix века	5	2
