N	3gram	Vygotskiy_	Myshleni
1	в том что	20	133
2	с точки зрения	11	89
3	для того чтобы	17	78
4	заключается в том	10	51
5	мы могли бы	4	48
6	с одной стороны	6	39
7	так же как	2	39
8	с самого начала	10	36
9	друг с другом	2	35
10	то же самое	12	31
11	можно было бы	6	28
12	с другой стороны	5	26
13	вместе с тем	3	26
14	о том что	8	25
15	на то что	16	25
16	не может быть	3	23
17	к тому что	5	22
18	в то время	4	22
19	смысле этого слова	5	22
20	не только не	3	21
21	то время как	3	20
22	так же точно	4	19
23	в самом деле	29	19
24	во всяком случае	6	18
25	состоит в том	2	18
26	этой точки зрения	2	17
27	до сих пор	6	17
28	как мы видели	2	17
29	с этой точки	2	16
30	одной и той	3	15
31	в данном случае	5	15
32	и той же	3	15
33	и то что	3	15
34	в сущности говоря	10	14
35	мы видели что	2	14
36	мы уже говорили	4	14
37	в свою очередь	3	14
38	потому что он	3	14
39	то и другое	3	13
40	это значит что	2	13
41	точно так же	3	13
42	таким образом что	2	12
43	одно и то	3	12
44	в том чтобы	2	12
45	и то же	3	12
46	мы не можем	2	11
47	с таким образом	4	11
48	тот факт что	3	10
49	вместо того чтобы	3	10
50	то что в	5	10
51	на самом деле	3	9
52	мы видим в	2	9
53	ни в какой	2	9
54	том что он	3	9
55	с тем что	3	9
56	все более и	4	8
57	сам по себе	2	8
58	того же самого	2	8
59	речь идет о	5	8
60	более и более	4	8
61	что он не	4	8
62	то что он	3	8
63	только в том	5	8
64	шаг за шагом	3	7
65	по своему значению	2	7
66	о том как	3	7
67	же самое что	2	7
68	и вместе с	3	7
69	как раз в	3	7
70	к тому чтобы	4	7
71	в том виде	2	7
72	потому что в	2	6
73	ничего общего с	2	6
74	то что мы	3	6
75	в том смысле	2	6
76	в лучшем случае	2	6
77	в том и	2	6
78	только то что	3	6
79	кроме того что	2	5
80	больше и больше	2	5
81	мы знаем что	2	5
82	и как бы	2	5
83	то что с	2	5
84	и что в	2	5
85	мы будем иметь	2	5
86	и в этом	6	5
87	что в этом	2	5
88	все больше и	2	5
89	как если бы	3	5
90	том что они	2	5
91	что все эти	2	5
92	в какой мере	3	5
93	в той же	2	5
94	не совпадает с	2	5
95	сами по себе	3	5
96	как мы увидим	2	5
97	указывает на то	4	5
98	самом деле если	2	4
99	мы увидим что	9	4
100	которых мы говорили	2	4
101	по аналогии с	2	4
102	в его основе	4	4
103	не то что	4	4
104	должны были бы	2	4
105	в предисловии к	2	4
106	что оба эти	2	4
107	о которых мы	5	4
108	что в сущности	2	4
109	того чтобы показать	2	4
110	мы видим что	7	4
111	здесь мы видим	2	3
112	и в конце	2	3
113	так например в	2	3
114	и в самом	15	3
115	все же в	2	3
116	ничего не может	2	3
117	потому что они	2	3
118	я не могу	3	3
119	мы старались показать	2	3
120	не можем не	2	3
121	он говорит что	2	3
122	это было бы	2	3
123	одна и та	2	3
124	совершенно очевидно что	3	3
125	и та же	3	3
126	надо сказать что	4	3
127	так как мы	2	3
128	том что она	3	3
129	имеем в виду	2	3
130	или во всяком	2	3
131	она не может	2	3
132	к тому же	2	3
133	то что она	3	3
134	никак не может	3	3
135	имеет место в	2	3
136	того или иного	2	3
137	и во всех	2	3
138	внимание на то	3	3
139	та же самая	3	3
140	и в другом	2	3
141	не имеет никакого	3	3
142	том случае если	4	2
143	с целым рядом	2	2
144	своим собственным законам	2	2
145	с каждой новой	2	2
146	чтобы увидеть что	5	2
147	ни в каком	2	2
148	вовсе не в	2	2
149	тем что в	2	2
150	может быть не	2	2
151	и может быть	3	2
152	и никогда не	2	2
153	на то как	2	2
154	что у него	2	2
155	в том случае	4	2
156	мы увидим ниже	2	2
157	в противоречие с	2	2
158	с ним в	2	2
159	этого слова и	2	2
160	в ее основе	3	2
161	стрекоза и муравей	2	2
162	мы остановились на	2	2
163	никогда не может	2	2
164	в самом конце	3	2
165	это имеет место	2	2
166	и только после	4	2
167	что в этой	3	2
168	дело идет о	2	2
