N	2gram	Potebnia_M	Formalny
1	и в	48	95
2	и не	28	78
3	может быть	46	66
4	в этом	19	61
5	не может	18	57
6	вовсе не	13	53
7	таким образом	24	52
8	и его	4	51
9	так и	17	50
10	точки зрения	4	47
11	в нем	16	42
12	в его	6	42
13	прежде всего	6	41
14	с точки	3	40
15	как и	22	39
16	и т	12	37
17	художественного произведения	6	36
18	не в	24	35
19	в самом	11	35
20	в процессе	2	34
21	а не	22	34
22	но и	30	33
23	то же	35	32
24	самом деле	5	32
25	не только	32	30
26	в том	47	26
27	если бы	20	26
28	то что	37	25
29	на самом	4	24
30	при этом	6	24
31	в своей	2	24
32	лишь в	2	24
33	в ней	11	23
34	связи с	6	23
35	было бы	16	23
36	в то	16	22
37	в истории	2	21
38	как бы	10	21
39	что в	30	21
40	и с	4	21
41	в их	2	20
42	не менее	9	20
43	между ними	4	20
44	и от	5	20
45	с тем	9	20
46	входит в	3	20
47	как мы	8	20
48	же время	8	20
49	место в	4	20
50	не могут	7	19
51	все это	4	19
52	хотя бы	3	19
53	т д	5	19
54	художественное произведение	6	19
55	по себе	26	19
56	т п	7	18
57	все же	3	18
58	и все	5	18
59	должна быть	2	18
60	и их	4	18
61	только в	29	18
62	как в	17	17
63	так же	6	16
64	в искусстве	6	16
65	во всяком	4	16
66	с другой	8	16
67	потому что	82	16
68	всяком случае	3	16
69	его в	6	15
70	но в	8	15
71	в поэзии	4	15
72	бы в	3	15
73	с другими	9	15
74	так как	20	15
75	должно быть	9	15
76	именно в	5	15
77	и на	5	15
78	что он	8	14
79	только на	4	14
80	в целом	5	14
81	языка и	5	14
82	в ее	3	14
83	в своем	6	14
84	еще не	9	14
85	в этой	3	14
86	если мы	2	14
87	и потому	9	14
88	в единстве	2	14
89	жизни и	3	14
90	вместе с	22	14
91	как ее	2	13
92	со стороны	4	13
93	того что	24	13
94	а в	14	13
95	что же	3	13
96	могут быть	6	13
97	что и	16	13
98	независимо от	10	13
99	она не	4	13
100	тем что	13	13
101	ни в	2	13
102	в действительности	7	12
103	по отношению	12	12
104	того чтобы	5	12
105	там где	6	12
106	и здесь	3	12
107	к тому	9	12
108	отношению к	10	12
109	оно не	7	12
110	поэтического произведения	2	12
111	уже не	11	12
112	никогда не	2	11
113	этом отношении	2	11
114	это и	2	11
115	так сказать	6	11
116	в большинстве	2	11
117	но не	8	11
118	слова и	8	11
119	что они	2	11
120	для него	14	11
121	между тем	19	11
122	не есть	24	10
123	действительности и	3	10
124	не как	3	10
125	друг друга	6	10
