N	2gram	Vinokur_St	Morfolog
1	и т	36	62
2	может быть	16	61
3	т д	25	60
4	и пр	4	45
5	таким образом	16	26
6	т е	21	25
7	могут быть	5	21
8	так как	7	20
9	мы имеем	2	19
10	не может	10	19
11	в этом	37	18
12	в этих	5	17
13	и в	61	17
14	и не	23	16
15	с этим	6	14
16	прежде всего	11	14
17	по существу	3	13
18	при помощи	4	12
19	связи с	3	12
20	а не	19	11
21	вопрос о	9	10
22	но если	5	10
23	то же	7	10
24	в том	56	10
25	не всегда	2	10
26	то что	27	10
27	так и	15	10
28	что в	41	10
29	что и	8	10
30	этом случае	3	10
31	все же	12	9
32	но и	28	9
33	с другой	11	9
34	не только	36	8
35	представляет собою	3	8
36	в тех	5	8
37	в результате	5	8
38	но не	5	8
39	а в	18	8
40	мы не	3	8
41	в качестве	7	8
42	не могут	2	7
43	том что	49	7
44	если в	2	7
45	по отношению	3	7
46	тем не	4	7
47	или же	3	7
48	не менее	8	7
49	отношению к	3	7
50	как это	6	7
51	а также	4	7
52	и здесь	2	7
53	точки зрения	16	7
54	во втором	5	7
55	потому что	13	7
56	очень часто	3	6
57	это не	8	6
58	но это	9	6
59	не все	3	6
60	во всех	8	6
61	и как	2	6
62	во время	5	6
63	и другие	3	6
64	также и	10	6
65	о том	30	6
66	в образе	3	6
67	с точки	10	6
68	в форме	2	6
69	как бы	8	6
70	вовсе не	24	6
71	ничего не	6	5
72	хотя бы	8	5
73	это явление	2	5
74	было бы	21	5
75	об этом	9	5
76	со стороны	7	5
77	что он	23	5
78	как в	15	5
79	то это	3	5
80	тому что	8	5
81	к тому	9	5
82	между тем	7	5
83	в целом	5	5
84	видно что	3	5
85	другой стороны	9	5
86	на его	2	5
87	там где	6	5
88	в других	2	5
89	все эти	7	5
90	что они	9	5
91	он не	11	5
92	раньше чем	4	5
93	в первом	2	5
94	хотя и	4	5
95	ясно что	10	5
96	сказать что	9	4
97	на самом	8	4
98	его в	4	4
99	так же	7	4
100	в то	10	4
101	значит что	3	4
102	можно было	14	4
103	к этому	4	4
104	в иных	2	4
105	на него	3	4
106	тем что	6	4
107	д но	4	4
108	не является	5	4
109	еще не	4	4
110	самом деле	14	4
111	из них	11	4
112	но в	16	4
113	но все	9	4
114	и для	4	4
115	как и	11	4
116	а если	2	4
117	этот вопрос	6	4
118	и к	5	4
119	несмотря на	4	4
120	того чтобы	15	4
121	говорить о	3	4
122	в некоторых	3	4
123	никто не	4	4
124	случае не	3	4
125	то в	3	3
126	время как	2	3
127	но эти	2	3
128	в настоящее	2	3
129	в которой	13	3
130	а на	4	3
131	то ни	2	3
132	вопроса о	3	3
133	из другой	2	3
134	это было	2	3
135	даже не	5	3
136	такие случаи	2	3
137	что это	5	3
138	в отдельных	2	3
139	и их	3	3
140	и у	2	3
141	целый ряд	3	3
142	если бы	11	3
143	в виде	3	3
144	не значит	3	3
145	это и	5	3
146	кроме того	3	3
147	и тем	3	3
148	он должен	2	3
149	из двух	3	3
150	не в	15	3
151	для того	15	3
152	с этой	5	3
153	у нас	12	3
154	а во	3	3
155	или с	2	3
156	в какой	4	3
157	того что	14	3
158	так например	12	3
159	ее в	2	3
160	к нему	2	3
161	они не	2	3
162	на то	5	3
163	а то	3	3
164	ни в	5	3
165	что такое	2	3
166	если это	3	3
167	с того	2	3
168	что при	3	3
169	но для	3	3
170	настоящее время	2	3
171	не существует	4	3
172	совсем не	3	3
173	в начале	5	3
174	можно назвать	3	3
175	и что	8	3
176	то время	2	3
177	и тогда	2	3
178	и по	6	3
179	и его	11	3
180	только в	11	3
181	в сущности	2	3
182	и только	3	3
183	в этой	13	3
184	бы то	2	3
185	с его	3	3
186	данном случае	7	2
187	в каком	4	2
188	в очень	4	2
189	в россии	7	2
190	как например	2	2
191	в данном	16	2
192	в наши	2	2
193	из этих	7	2
194	том как	4	2
195	одной стороны	2	2
196	дело не	4	2
197	бы в	2	2
198	во второй	10	2
199	ответ на	4	2
200	в обоих	2	2
201	б в	3	2
202	в другом	5	2
203	также в	2	2
204	и даже	8	2
205	или менее	2	2
206	иногда и	2	2
207	что она	5	2
208	считаться с	2	2
209	в числе	4	2
210	в середине	2	2
211	что именно	2	2
212	в данной	2	2
213	превращается в	2	2
214	д и	2	2
215	этом отношении	13	2
216	не на	3	2
217	в частности	6	2
218	иных случаях	2	2
219	одним из	2	2
220	и за	3	2
221	относятся к	3	2
222	это положение	2	2
223	на вопрос	7	2
224	что ни	2	2
225	в чем	4	2
226	не знает	2	2
227	с одной	3	2
228	а потому	2	2
229	должна быть	3	2
230	в свое	3	2
231	а с	6	2
232	и более	4	2
233	обоих случаях	2	2
234	одной из	4	2
235	не по	5	2
236	что о	3	2
237	на этот	5	2
238	с тем	3	2
239	вытекает из	2	2
240	без всякой	3	2
241	не так	2	2
242	не имеет	5	2
243	вообще не	5	2
244	она не	3	2
245	более или	2	2
246	их в	2	2
247	ни одной	2	2
248	но с	7	2
249	в своих	2	2
250	что там	2	2
251	оно не	3	2
252	быть и	2	2
253	но они	3	2
254	в которых	5	2
255	вопрос в	4	2
256	что до	3	2
257	для нас	7	2
258	в основу	5	2
259	что мы	5	2
260	это можно	3	2
261	что же	6	2
262	точно так	2	2
263	что этот	3	2
264	в одной	3	2
265	всяком случае	8	2
266	может не	2	2
267	должны быть	4	2
268	вряд ли	8	2
269	что эта	5	2
270	все это	13	2
271	в основе	4	2
272	у него	3	2
273	как будто	5	2
274	из таких	2	2
275	например в	8	2
276	можно сказать	2	2
277	из его	3	2
278	для него	10	2
279	в одном	7	2
280	во всяком	8	2
281	без всякого	2	2
282	по своему	2	2
283	тем же	3	2
284	того как	8	2
285	чем в	3	2
