N	3gram	Medvedev_V	Problemy
1	то же время	5	26
2	в то же	5	26
3	по отношению к	7	18
4	и т п	9	18
5	не может быть	8	14
6	в конце концов	2	11
7	до сих пор	2	10
8	во всяком случае	2	9
9	с другой стороны	8	9
10	и не может	2	8
11	в том что	5	8
12	и в то	3	7
13	и т д	16	7
14	по крайней мере	2	5
15	подобно тому как	3	5
16	в зависимости от	5	5
17	хотя бы и	5	5
18	можно было бы	2	5
19	более или менее	6	4
20	о том что	3	4
21	в этом отношении	14	4
22	в большей или	2	3
23	для него в	2	3
24	большей или меньшей	3	3
25	не только не	2	3
26	т е в	2	3
27	или меньшей степени	2	3
28	можно сказать что	4	3
29	в письме к	11	2
30	этой точки зрения	2	2
31	в художественном творчестве	5	2
32	только то что	2	2
33	и в другом	2	2
34	не только в	2	2
35	к тому что	4	2
36	вместе с тем	4	2
37	для того чтобы	3	2
38	в одном из	4	2
39	о том же	3	2
