N	2gram	Tiupa_Lite	Komedia
1	и в	26	77
2	и не	19	47
3	в том	22	44
4	том что	19	42
5	о том	3	33
6	едва ли	5	32
7	но и	25	32
8	может быть	24	30
9	таким образом	4	29
10	из них	5	29
11	в то	12	28
12	и его	7	28
13	в этом	19	27
14	потому что	5	27
15	что он	8	26
16	к тому	3	26
17	не только	29	25
18	тому же	2	25
19	вместе с	5	25
20	так как	2	24
21	как и	13	23
22	что в	7	23
23	что и	3	22
24	в самом	4	22
25	в конце	6	21
26	так и	7	21
27	а в	5	21
28	то же	13	21
29	в его	9	20
30	со стороны	6	19
31	к этому	2	19
32	в этой	7	18
33	и т	2	17
34	тем что	6	17
35	еще не	4	17
36	в нем	4	17
37	же время	12	17
38	все же	6	16
39	у него	5	16
40	не менее	11	16
41	при этом	23	16
42	и сам	6	16
43	он не	4	16
44	его в	4	15
45	в своем	12	15
46	не в	11	15
47	точки зрения	8	15
48	между тем	2	15
49	прежде всего	14	15
50	один из	7	15
51	на себя	4	15
52	было бы	4	15
53	и на	5	15
54	ли не	7	14
55	в свою	2	14
56	и с	4	14
57	столь же	5	14
58	то что	14	13
59	так что	4	13
60	самом деле	2	13
61	но в	5	13
62	того же	5	13
63	в одном	2	13
64	как раз	6	13
65	с другой	11	12
66	для того	2	12
67	т п	2	12
68	как это	9	12
69	уже в	7	12
70	несмотря на	3	12
71	не по	2	12
72	в качестве	21	12
73	в начале	4	12
74	не может	10	12
75	как в	5	12
76	но не	8	12
77	из которых	3	12
78	нового времени	2	12
79	по отношению	6	11
80	в их	3	11
81	в частности	18	11
82	с тем	2	11
83	одного из	4	11
84	что его	3	11
85	речь идет	3	11
86	как мы	2	11
87	и даже	9	11
88	с ним	2	11
89	в отношении	2	10
90	в целом	10	10
91	к себе	3	10
92	ничего не	3	10
93	одной из	2	10
94	в чем	2	10
95	в глазах	4	10
96	мы не	5	10
97	же в	6	10
98	свою очередь	2	10
99	с его	5	10
100	тем более	2	10
101	с одной	9	10
102	как бы	8	10
103	еще в	7	10
104	более чем	4	10
105	и что	2	10
106	отличие от	6	9
107	одной стороны	8	9
108	однако в	7	9
