N	2gram	Losev_Dial	Stilisti
1	и в	34	42
2	как бы	19	30
3	не только	35	28
4	прежде всего	20	22
5	хотя бы	9	18
6	то же	9	16
7	но и	14	16
8	и не	50	14
9	не может	29	13
10	может быть	30	13
11	как и	14	12
12	точки зрения	43	11
13	что мы	10	11
14	мы уже	6	11
15	в себе	8	10
16	и как	13	10
17	отнюдь не	16	10
18	в этом	14	10
19	как мы	4	10
20	в то	9	9
21	для того	4	9
22	все же	4	9
23	то что	25	9
24	при этом	7	9
25	мы не	11	9
26	тем самым	3	8
27	ничего не	29	8
28	так как	12	8
29	и это	12	8
30	с тем	4	8
31	в ней	4	8
32	что же	12	8
33	таким образом	14	8
34	с его	7	8
35	никогда не	9	7
36	другими словами	8	7
37	и от	4	7
38	мы можем	3	7
39	зависимости от	4	7
40	и той	4	7
41	же время	5	7
42	так и	11	7
43	потому что	21	7
44	только в	10	7
45	а не	39	7
46	и на	6	7
47	в зависимости	3	7
48	было бы	13	7
49	и его	8	7
50	той же	6	7
51	и тем	3	7
52	одно и	6	6
53	или иной	4	6
54	когда мы	3	6
55	и так	2	6
56	бы в	5	6
57	во всех	2	6
58	не в	11	6
59	но ведь	2	6
60	в конце	2	6
61	или как	3	6
62	в нем	7	6
63	в процессе	2	6
64	в его	6	6
65	в этой	3	6
66	и то	7	5
67	все время	4	5
68	того или	6	5
69	независимо от	3	5
70	и следовательно	2	5
71	и наконец	2	5
72	самом деле	7	5
73	как это	8	5
74	же мы	5	5
75	и является	2	5
76	тому что	5	5
77	а в	3	5
78	но в	3	5
79	или иного	3	5
80	в самом	9	5
81	и с	10	5
82	с точки	25	5
83	вместе с	3	5
84	да и	4	4
85	что это	20	4
86	в одном	3	4
87	так же	7	4
88	его в	2	4
89	его внутренней	2	4
90	если бы	10	4
91	то или	4	4
92	что именно	10	4
93	не что	6	4
94	не забудем	2	4
95	были бы	2	4
96	у нас	7	4
97	того что	22	4
98	природы или	2	4
99	зрения в	3	4
100	всего в	2	4
101	одной и	4	4
102	и все	17	4
103	к тому	4	4
104	о том	11	4
105	и пр	16	4
106	что такое	25	4
107	точка зрения	5	4
108	если мы	5	4
109	уже не	9	4
110	и к	5	4
111	не существует	10	4
112	или иное	4	4
113	мы видим	4	4
114	той или	3	4
115	было в	2	4
116	не просто	20	4
117	все это	13	4
118	себя в	3	4
119	как только	5	4
120	тех или	6	4
121	можно сказать	5	4
122	в слове	3	4
123	и без	4	4
124	сказать что	7	3
125	на самом	2	3
126	это не	13	3
127	том что	18	3
128	но для	3	3
129	перед нами	5	3
130	об этом	8	3
131	и даже	21	3
132	от того	9	3
133	то мы	3	3
134	и здесь	3	3
135	целый ряд	3	3
136	или иных	2	3
137	в виду	12	3
138	та же	5	3
139	в том	17	3
140	он должен	3	3
141	в частности	3	3
142	еще не	7	3
143	только на	8	3
144	совершенно не	6	3
145	как в	2	3
146	и вот	13	3
