N	2gram	Trubetskoy	VelikijI
1	во имя	3	32
2	и не	9	20
3	и в	24	16
4	так как	7	9
5	то что	18	9
6	еще не	6	8
7	в истории	3	8
8	и потому	3	7
9	на земле	3	7
10	что они	2	7
11	не есть	4	6
12	в мире	6	5
13	как бы	10	5
14	но и	11	5
15	все это	13	5
16	хотя и	4	5
17	того что	7	5
18	что все	5	4
19	и все	9	4
20	как и	10	4
21	в котором	2	4
22	потому что	9	4
23	все что	10	4
24	в нем	3	4
25	в ней	3	4
26	что мы	4	4
27	в его	5	4
28	говорить о	2	4
29	в этом	13	4
30	что он	7	4
31	так и	10	4
32	никогда не	4	3
33	в жизни	3	3
34	что в	9	3
35	в том	31	3
36	и для	6	3
37	не имеет	2	3
38	тому что	2	3
39	но в	5	3
40	к тому	8	3
41	их в	2	3
42	должно быть	5	3
43	хотя бы	4	3
44	и будет	2	3
45	во всех	10	3
46	от которого	2	3
47	в конце	4	3
48	по этому	2	3
49	в них	2	3
50	жизни и	2	3
51	как не	2	3
52	что и	7	3
53	не было	2	3
54	в вопросе	2	3
55	лишь в	5	3
56	и что	9	3
57	не в	9	3
58	все эти	19	3
59	в этих	3	3
60	должна быть	6	3
61	тот же	3	3
62	и то	4	2
63	с тем	4	2
64	самого себя	4	2
65	одна из	2	2
66	не так	4	2
67	но не	3	2
68	что их	3	2
69	ее и	4	2
70	и это	3	2
71	это не	3	2
72	не только	10	2
73	не могут	4	2
74	а в	3	2
75	том что	20	2
76	на том	2	2
77	а между	8	2
78	от него	3	2
79	а к	2	2
80	во всяком	2	2
81	которые не	3	2
82	давно уже	2	2
83	ценности и	2	2
84	не будет	5	2
85	того чтобы	8	2
86	вопросе о	2	2
87	конечно не	3	2
88	только в	6	2
89	на нас	3	2
90	и сам	2	2
91	от своей	2	2
92	для нас	3	2
93	в себя	2	2
94	основанную на	2	2
95	прежде всего	3	2
96	с ним	6	2
97	между тем	12	2
98	мы и	2	2
99	а с	4	2
100	для него	2	2
