N	2gram	Voloshinov	VeschiIm
1	и не	8	57
2	не только	6	48
3	то что	6	48
4	не может	8	46
5	и в	13	45
6	может быть	8	39
7	а не	2	37
8	было бы	4	24
9	в себе	3	23
10	только в	6	23
11	и следовательно	2	20
12	как бы	6	20
13	и ее	2	19
14	но и	3	19
15	что же	3	19
16	все же	5	18
17	в этом	2	18
18	есть не	2	17
19	прежде всего	9	17
20	так как	3	17
21	таким образом	6	16
22	в том	2	15
23	как и	3	15
24	в ней	2	15
25	не в	3	14
26	и то	3	14
27	том что	2	13
28	и для	3	13
29	в самом	2	13
30	иное как	2	12
31	что в	3	12
32	точки зрения	7	12
33	что они	2	12
34	не что	2	12
35	то же	4	12
36	что иное	2	12
37	между собою	2	12
38	еще и	4	11
39	не менее	2	11
40	вовсе не	2	11
41	и их	7	11
42	и пр	7	11
43	в чем	2	10
44	хотя бы	5	9
45	бы в	2	9
46	говорить о	3	9
47	и его	12	9
48	в отношении	2	8
49	но в	4	8
50	в ее	3	8
51	мы не	4	8
52	все это	4	8
53	только и	4	8
54	если бы	2	8
55	для него	2	8
56	с другой	2	8
57	в действительности	2	7
58	и тем	2	7
59	самом деле	3	7
60	а в	2	7
61	все эти	2	7
62	слова и	2	7
63	тем что	2	7
64	с этой	2	7
65	мог бы	2	7
66	никогда не	3	6
67	для себя	2	6
68	и все	3	6
69	в нем	2	6
70	в своей	4	6
71	одно и	3	6
72	в данном	2	6
73	несмотря на	2	6
74	с точки	5	6
75	в одном	3	6
76	да и	3	5
77	мы должны	6	5
78	собственно говоря	2	5
79	мы видим	2	5
80	в его	7	5
81	в которой	3	5
82	от всех	2	5
83	я хочу	3	5
84	чем же	2	5
85	так же	2	4
86	в их	3	4
87	так и	3	4
88	который мы	2	4
89	его на	2	4
90	тот же	2	4
91	с ними	2	4
92	с этим	3	4
93	и эта	5	4
94	мы можем	4	4
95	она является	2	4
96	есть прежде	3	4
97	к одному	3	3
98	не является	4	3
99	вопроса о	4	3
100	в другом	2	3
101	к тому	2	3
102	одной стороны	2	3
103	другой стороны	2	3
104	в целом	2	3
105	и может	2	3
106	мы получим	2	3
107	от этого	2	3
108	превращается в	3	3
109	себе что	2	3
110	как в	2	3
111	с одной	2	3
112	не мог	2	3
113	не имеет	2	3
114	явлений и	2	3
115	в своих	2	3
116	на язык	2	3
117	мы уже	2	3
118	данном случае	2	2
119	общения и	2	2
120	не как	3	2
121	слово в	3	2
122	точку зрения	3	2
123	на две	2	2
124	языка как	3	2
125	говорить об	2	2
126	со всей	3	2
127	уже в	2	2
128	нет ничего	2	2
129	не столько	3	2
130	может в	2	2
131	нуждается в	2	2
132	и этот	2	2
133	в связи	2	2
134	не на	2	2
135	а также	2	2
136	что эта	2	2
137	сознания и	2	2
138	он только	2	2
139	но ведь	5	2
140	и к	2	2
141	но для	3	2
142	и уже	3	2
143	во всем	2	2
144	учение о	2	2
