N	2gram	Berdyaev_V	Marksizm
1	и в	16	63
2	и не	20	55
3	как бы	5	53
4	в этом	4	39
5	лишь в	3	30
6	не только	2	29
7	в нем	4	28
8	но и	5	27
9	прежде всего	2	24
10	как и	4	24
11	так и	4	23
12	только в	2	23
13	в том	3	22
14	то что	9	22
15	а не	7	22
16	для него	2	20
17	том что	2	19
18	не в	3	19
19	в его	4	19
20	но в	3	18
21	и для	3	18
22	что он	4	15
23	во всех	3	15
24	хотя бы	3	14
25	мы не	2	13
26	того чтобы	2	13
27	в своей	3	13
28	что в	3	13
29	а в	2	12
30	между тем	2	12
31	и все	4	11
32	в ней	4	11
33	все эти	3	11
34	так как	9	11
35	еще не	8	11
36	и что	3	11
37	никогда не	3	10
38	и потому	7	10
39	во всяком	2	10
40	с его	3	10
41	одна из	2	10
42	конечно не	2	10
43	это не	2	9
44	и это	2	9
45	к тому	3	9
46	в истории	8	9
47	не имеет	3	9
48	ни в	3	9
49	в форме	2	8
50	тому что	3	8
51	что не	4	8
52	не будет	2	8
53	что и	3	8
54	не было	3	8
55	от него	2	7
56	того что	5	7
57	могут быть	2	7
58	в этих	3	7
59	в котором	4	7
60	не есть	6	6
61	является в	2	6
62	все это	5	6
63	должна быть	3	6
64	тот же	3	6
65	уже не	2	6
66	не к	2	6
67	в конце	3	5
68	от этого	3	5
69	хотя и	5	5
70	да и	2	5
71	должно быть	3	5
72	ее в	2	5
73	но не	2	5
74	не могут	2	4
75	его к	2	4
76	что все	4	4
77	в них	3	4
78	что они	7	4
79	нет и	2	4
80	бы и	3	4
81	и то	2	4
82	нет ничего	3	4
83	нем нет	2	4
84	значения и	2	4
85	жизни и	3	4
86	тем что	2	4
87	с тем	2	3
88	они и	2	3
89	не так	2	3
90	потому что	4	3
91	и тогда	2	3
92	и они	3	3
93	но это	3	3
94	что во	3	3
95	можно было	2	3
96	в последнем	2	3
97	его и	2	3
98	не с	2	3
99	людей так	2	3
100	говорить о	4	3
101	что было	2	3
102	и есть	4	3
103	с ним	2	3
104	ее и	2	2
105	в духе	2	2
106	превращаются в	2	2
107	и за	2	2
108	всего в	2	2
109	а с	2	2
110	в прошлом	2	2
111	мы это	2	2
112	для них	2	2
113	его не	2	2
114	и во	2	2
115	превращается в	3	2
116	в чем	3	2
117	в жизни	3	2
118	по которым	2	2
119	их в	3	2
120	оно не	3	2
121	а между	2	2
122	нет еще	2	2
123	что мы	4	2
124	мы и	2	2
