N	2gram	Losev_Vesc	RusskieA
1	и в	44	79
2	в том	15	64
3	том что	13	59
4	что в	11	57
5	т е	79	54
6	не только	48	41
7	а а	2	40
8	так как	17	34
9	в этом	17	33
10	и другие	2	33
11	как бы	19	31
12	но и	19	31
13	в и	4	30
14	как и	15	28
15	может быть	37	28
16	и на	2	28
17	одна из	6	24
18	и т	37	23
19	о том	11	23
20	с в	3	23
21	т д	36	21
22	это не	9	20
23	е в	7	20
24	как мы	6	20
25	а в	6	20
26	из них	7	19
27	все это	7	18
28	с тем	8	17
29	потому что	25	17
30	то что	47	17
31	об этом	5	17
32	таким образом	16	17
33	вместе с	4	17
34	мы не	8	16
35	один из	5	15
36	у нас	9	14
37	мы видели	3	14
38	для нас	2	14
39	не менее	11	14
40	как это	4	14
41	тем не	11	14
42	и не	57	14
43	и с	11	14
44	и что	22	14
45	так что	9	13
46	к этому	2	13
47	не может	44	13
48	еще не	12	13
49	как в	3	13
50	уже не	15	13
51	в виде	3	12
52	между собой	2	12
53	мы имеем	8	12
54	тем что	7	12
55	что на	2	11
56	а затем	2	11
57	но это	14	11
58	не имеет	2	11
59	далеко не	2	11
60	его в	8	10
61	так и	4	10
62	по существу	3	10
63	все же	18	10
64	что и	11	10
65	том чтобы	2	10
66	или в	3	10
67	данном случае	2	9
68	о чем	2	9
69	но в	8	9
70	и все	6	9
71	что они	12	9
72	с ней	2	9
73	то же	12	9
74	но не	9	9
75	так же	4	8
76	того что	16	8
77	в россии	2	8
78	одно из	2	8
79	в данном	6	8
80	на себя	5	8
81	того чтобы	4	8
82	их в	6	8
83	что это	18	8
84	не все	3	8
85	во всех	5	8
86	подобно тому	5	8
87	для того	3	8
88	тому как	5	8
89	в своем	9	7
90	мы должны	5	7
91	а и	13	7
92	ничего не	12	7
93	в свете	8	7
94	не в	14	7
95	главным образом	3	7
96	а с	3	7
97	к нему	3	7
98	было бы	24	7
99	для этого	5	7
100	в это	2	7
101	и как	12	7
102	не можем	3	7
103	только в	23	7
104	как будто	2	7
105	а не	34	7
106	с собой	2	6
107	в этой	4	6
108	и их	11	6
109	и у	4	6
110	на этом	4	6
111	в их	4	6
112	только на	3	6
113	в в	2	6
114	тому что	2	6
115	она не	9	6
116	к тому	3	6
117	в нем	6	6
118	же как	3	6
119	с ними	4	6
120	все эти	5	6
121	в качестве	4	6
122	но она	3	6
123	в одном	6	6
124	что она	23	6
125	и о	4	6
126	что здесь	2	6
127	но они	2	6
128	и пр	10	6
129	и более	4	6
130	на нее	2	6
131	видели что	3	6
132	и другой	2	6
133	приводит к	2	6
134	вопрос о	6	5
135	и потому	8	5
136	к себе	4	5
137	но если	12	5
138	тогда когда	5	5
139	что он	7	5
140	прежде всего	17	5
141	в разных	6	5
142	в свою	5	5
143	с этим	4	5
144	в то	11	5
145	в целом	3	5
146	тогда как	3	5
147	не было	4	5
148	тот же	4	5
149	в его	5	5
150	то и	7	5
151	можно было	6	5
152	в особенности	3	5
153	не с	8	5
154	и для	13	5
155	с другой	8	5
156	отнюдь не	8	5
157	с ним	8	5
158	мы уже	3	5
159	как можно	5	4
160	чтобы они	2	4
161	и ее	19	4
162	иное как	12	4
163	не был	2	4
164	и а	3	4
165	не что	12	4
166	у них	2	4
167	нас не	2	4
168	на две	2	4
169	в руки	2	4
170	только тогда	4	4
171	его и	4	4
172	но эти	2	4
173	или по	2	4
174	под именем	2	4
175	не столько	2	4
176	и до	6	4
177	и тогда	7	4
178	не на	2	4
179	во всяком	4	4
180	в основе	4	4
181	и от	4	4
182	дело не	4	4
183	к ней	4	4
184	несмотря на	6	4
185	и здесь	5	4
