N	2gram	Bakhtin_Pr	Marksizm
1	точки зрения	8	69
2	может быть	26	64
3	и в	38	63
4	и не	42	55
5	как бы	22	53
6	не может	27	47
7	с точки	6	46
8	и пр	2	42
9	и его	16	41
10	в этом	15	39
11	таким образом	10	38
12	как мы	7	32
13	в пределах	6	31
14	лишь в	2	30
15	не только	9	29
16	в нем	15	28
17	то же	5	28
18	языка как	2	27
19	но и	9	27
20	самом деле	6	25
21	связи с	2	25
22	прежде всего	13	24
23	как и	7	24
24	в самом	7	24
25	так и	5	23
26	только в	13	23
27	в том	8	22
28	то что	8	22
29	а не	5	22
30	при этом	5	20
31	том что	3	19
32	не в	7	19
33	в его	43	19
34	если бы	3	19
35	на почве	3	19
36	но в	4	18
37	в ее	4	18
38	и для	11	18
39	языка в	3	18
40	в слове	3	18
41	вовсе не	2	18
42	все же	6	17
43	в то	4	16
44	по отношению	21	16
45	и как	8	16
46	слова и	3	16
47	ни было	3	16
48	что он	2	15
49	в связи	2	15
50	во всех	11	15
51	отношению к	19	15
52	отнюдь не	19	15
53	же время	3	15
54	с помощью	7	15
55	в данном	4	14
56	хотя бы	4	14
57	ничего не	6	13
58	того чтобы	2	13
59	было бы	8	13
60	в своей	7	13
61	не является	3	13
62	и здесь	2	13
63	слова в	7	13
64	то ни	3	13
65	что в	7	13
66	а в	6	12
67	в основе	5	12
68	бы то	3	12
69	в высшей	5	12
70	для того	2	12
71	высшей степени	5	12
72	он не	3	12
73	между тем	7	12
74	на самом	4	11
75	как в	4	11
76	и все	3	11
77	к нему	10	11
78	и на	3	11
79	в ней	4	11
80	все эти	5	11
81	на материале	3	11
82	и от	3	11
83	еще не	7	11
84	и что	2	11
85	никогда не	5	10
86	его в	9	10
87	и потому	4	10
88	бытия в	3	10
89	в каждом	2	10
90	отличие от	5	10
91	здесь мы	2	10
92	более того	4	10
93	здесь в	2	10
94	с его	2	10
95	сказать что	4	10
96	одна из	2	10
97	к этому	2	10
98	в своем	5	10
99	совершенно не	7	10
100	в отличие	5	10
101	с другой	7	10
102	конечно не	5	10
103	в таком	3	10
104	в большинстве	5	10
105	в себе	4	9
106	а как	3	9
107	это не	5	9
108	одной из	3	9
109	и это	3	9
110	большинстве случаев	5	9
111	в истории	2	9
112	в нашем	4	9
113	рядом с	5	9
114	что это	2	9
115	и эта	2	9
116	не имеет	9	9
117	и более	2	9
118	ни в	11	9
119	точка зрения	3	9
