N	2gram	Potebnia_M	VelikijI
1	и не	28	20
2	и в	48	16
3	так как	20	9
4	то что	37	9
5	еще не	9	8
6	в истории	2	8
7	и потому	9	7
8	что они	2	7
9	а не	22	7
10	не есть	24	6
11	человека и	8	6
12	в мире	3	5
13	как бы	10	5
14	но и	30	5
15	все это	4	5
16	хотя и	3	5
17	что есть	3	5
18	того что	24	5
19	что все	5	4
20	и все	5	4
21	как и	22	4
22	в котором	7	4
23	потому что	82	4
24	все что	4	4
25	в нем	16	4
26	в образе	4	4
27	в ней	11	4
28	что не	12	4
29	что мы	16	4
30	и я	3	4
31	в его	6	4
32	говорить о	6	4
33	в этом	19	4
34	что он	8	4
35	и есть	4	4
36	так и	17	4
37	никогда не	2	3
38	превращается в	3	3
39	что в	30	3
40	в том	47	3
41	от этого	2	3
42	не имеет	10	3
43	тому что	6	3
44	но в	8	3
45	к тому	9	3
46	ни в	2	3
47	их в	3	3
48	нет ничего	2	3
49	то это	9	3
50	но это	9	3
51	бы и	4	3
52	должно быть	9	3
53	оно не	7	3
54	хотя бы	3	3
55	в своей	2	3
56	к чему	2	3
57	за ним	4	3
58	по этому	2	3
59	в них	9	3
60	жизни и	3	3
61	что и	16	3
62	и мы	3	3
63	не было	12	3
64	лишь в	2	3
65	если не	6	3
66	и что	13	3
67	не в	24	3
68	в этих	2	3
69	что я	5	3
70	должна быть	2	3
71	в чем	6	3
72	тот же	2	3
73	когда в	2	2
74	и то	13	2
75	с тем	9	2
76	да и	2	2
77	самого себя	3	2
78	но не	8	2
79	нет и	2	2
80	никогда еще	2	2
81	под конец	2	2
82	и это	6	2
83	это не	2	2
84	ее в	2	2
85	не только	32	2
86	не могут	7	2
87	а в	14	2
88	том что	28	2
89	для человека	8	2
90	его к	2	2
91	но мы	3	2
92	а между	6	2
93	от него	2	2
94	а к	4	2
95	во всяком	4	2
96	и тогда	4	2
97	есть уже	13	2
98	вслед за	6	2
99	уже не	11	2
100	могут быть	6	2
101	я думаю	2	2
102	не к	4	2
103	в последнем	4	2
104	к нам	2	2
105	один из	7	2
106	т д	5	2
107	давно уже	4	2
108	не будет	4	2
109	того чтобы	5	2
110	и теперь	6	2
111	более чем	2	2
112	тем что	13	2
113	мы не	17	2
114	конечно не	2	2
115	уже на	2	2
116	только в	29	2
117	на нас	4	2
118	люди не	2	2
119	до того	5	2
120	в форме	2	2
121	все равно	5	2
122	для нас	40	2
123	людей и	2	2
124	прежде всего	6	2
125	и т	12	2
126	с ним	10	2
127	его не	2	2
128	между тем	19	2
129	а с	4	2
130	для него	14	2
131	не с	4	2
