N	2gram	Tiupa_Lite	Narrotol
1	не только	29	62
2	и не	19	50
3	при этом	23	47
4	но и	25	45
5	а не	28	38
6	в качестве	21	35
7	в частности	18	31
8	может быть	24	30
9	и в	26	30
10	в том	22	29
11	своего рода	22	28
12	том что	19	28
13	тогда как	20	28
14	в этом	19	28
15	а в	5	27
16	такого рода	18	26
17	состоит в	18	25
18	представляет собой	5	25
19	с собачкой	2	25
20	только в	8	25
21	в данном	7	24
22	как и	13	24
23	не в	11	23
24	то что	14	23
25	то есть	11	22
26	в тексте	9	22
27	не может	10	20
28	данном случае	6	17
29	в себе	8	17
30	так и	7	17
31	а также	5	17
32	со стороны	6	16
33	в его	9	16
34	но в	5	15
35	иначе говоря	2	15
36	к тому	3	15
37	и т.п	14	15
38	картина мира	2	14
39	в жизни	7	14
40	и его	7	14
41	в своем	12	13
42	в своей	5	13
43	то же	13	13
44	у него	5	13
45	о том	3	13
46	уже не	9	13
47	все же	6	12
48	прежде всего	14	12
49	как в	5	12
50	как бы	8	12
51	сводится к	4	12
52	тем самым	8	11
53	по отношению	6	11
54	к себе	3	11
55	и тем	4	11
56	героя в	2	11
57	отличие от	6	11
58	в нем	4	11
59	в этой	7	11
60	жизни в	5	11
61	отношению к	4	11
62	в отличие	6	11
63	в мире	9	11
64	дамы с	2	11
65	никогда не	5	10
66	всего лишь	7	10
67	в то	12	10
68	и т.д	8	10
69	ничего не	3	10
70	как это	9	10
71	один из	7	10
72	точки зрения	8	10
73	того что	7	10
74	как правило	5	10
75	не является	3	10
76	но не	8	10
77	коммуникативного события	8	10
78	жизни и	6	10
79	тому же	2	10
80	между тем	2	10
81	с его	5	10
82	в соответствии	2	9
83	еще не	4	9
84	что он	8	9
85	коммуникативное событие	6	9
86	что в	7	9
87	отнюдь не	4	9
88	не сводится	3	9
89	в рамках	9	9
90	тем не	4	9
91	для него	6	9
92	далеко не	4	9
93	столь же	5	9
94	я в	12	9
95	потому что	5	9
96	с ним	2	9
97	как раз	6	9
98	или иной	3	8
99	самом деле	2	8
100	но при	2	8
101	не менее	11	8
102	одна из	8	8
103	мы имеем	2	8
104	и он	3	8
105	мира в	4	8
106	этом отношении	5	8
107	по мысли	2	8
108	у нас	5	8
109	в литературе	2	8
110	в самом	4	8
111	соответствии с	3	8
112	же время	12	8
113	он не	4	8
114	не мог	3	8
115	в свою	2	7
116	это не	4	7
117	при всей	5	7
118	в конце	6	7
119	едва ли	5	7
120	в принципе	7	7
121	а во	2	7
122	в чем	2	7
123	в ней	4	7
124	одного из	4	7
125	на себя	4	7
126	в целом	10	7
127	человеческого я	3	7
128	и состоит	2	7
129	же в	6	7
130	в силу	4	7
131	в глазах	4	7
132	в финале	2	7
133	из наиболее	2	7
134	также и	3	7
135	с другой	11	7
136	и на	5	7
137	одной стороны	8	6
138	в коммуникативном	2	6
139	вплоть до	4	6
140	в сознании	3	6
141	во втором	3	6
142	однако в	7	6
143	что и	3	6
144	например в	3	6
145	никак не	2	6
146	то в	3	6
147	то и	5	6
148	из этих	2	6
149	однако и	2	6
150	в результате	2	6
151	героя и	2	6
152	не по	2	6
153	с одной	9	6
154	в нашем	2	6
155	на то	2	6
156	слова в	2	6
157	в конечном	9	6
158	все что	3	6
159	в случае	5	6
160	таким образом	4	6
161	в слове	3	6
162	имеем дело	2	6
163	для нее	2	5
164	в другом	3	5
165	художественного письма	11	5
166	а для	3	5
167	свидетельствует о	3	5
168	являет собой	2	5
169	не столько	8	5
170	исходя из	3	5
171	было бы	4	5
172	мы не	5	5
173	свою очередь	2	5
174	я не	8	5
175	да и	3	5
176	и то	3	5
177	по поводу	2	5
178	читателя в	2	5
179	в начале	4	5
180	тем более	2	5
181	в равной	4	5
182	себя в	7	5
183	с ее	3	5
184	и даже	9	5
185	подобно тому	4	5
186	в концовке	2	5
187	для того	2	5
188	в пределах	4	5
189	в какой	2	5
190	не случайно	5	5
191	человек в	2	5
192	в своих	5	5
193	в русской	13	5
194	следует признать	2	5
195	еще в	7	5
196	из них	5	5
197	тому как	4	5
198	в одном	2	5
199	не было	5	5
200	и того	2	5
201	он сам	2	5
202	и сам	6	5
203	как будто	2	5
204	даже в	6	4
205	в москве	2	4
206	в третьем	3	4
207	роль в	2	4
208	в виду	4	4
209	в ходе	2	4
210	как он	2	4
211	в области	5	4
212	только на	3	4
213	друг друга	5	4
214	xix столетия	3	4
215	из нас	2	4
216	другого сознания	4	4
217	в душе	3	4
218	это уже	2	4
219	на том	3	4
220	а то	2	4
221	ему в	2	4
222	так в	6	4
223	классического реализма	3	4
224	равной степени	2	4
225	не на	2	4
226	который в	2	4
227	как мы	2	4
228	в основе	5	4
229	в поле	2	4
230	но зато	2	4
231	от первого	2	4
232	хотя бы	3	4
233	к этому	2	4
234	конечном счете	8	4
235	и адресата	4	4
236	и как	2	4
237	которая не	2	4
238	не имеет	2	4
239	человека в	5	4
240	со всеми	2	4
241	ведет к	5	4
242	не могло	3	4
243	не с	2	4
244	с позиции	3	4
245	первого лица	2	4
246	ли не	7	4
247	для себя	6	4
248	что я	4	4
249	в сфере	7	4
250	и с	4	4
251	в итоге	2	4
252	для нас	3	4
253	несмотря на	3	4
254	всяком случае	2	4
255	по своей	3	4
256	к жизни	2	4
257	во всяком	3	4
258	нового времени	2	4
259	в себя	5	4
260	не к	3	4
261	о которой	2	4
262	вместе с	5	4
263	еще и	3	3
264	до конца	3	3
265	идет о	4	3
266	сознания в	14	3
267	но как	3	3
268	в ситуации	2	3
269	различного рода	2	3
270	каждый из	4	3
271	коммуникативном событии	2	3
272	как к	4	3
273	за собой	2	3
274	должен быть	2	3
275	с этой	6	3
276	а как	2	3
277	этого не	2	3
278	и иных	2	3
279	и вот	2	3
280	не знает	3	3
281	а с	2	3
282	одно из	3	3
283	одной из	2	3
284	как уже	3	3
285	самим собой	2	3
286	жизни на	3	3
287	что не	3	3
288	личность не	3	3
289	а к	2	3
290	не бывает	2	3
291	же как	3	3
292	лев толстой	2	3
293	все эти	2	3
294	той же	5	3
295	и самого	2	3
296	связи с	7	3
297	в связи	4	3
298	более не	2	3
299	и т	2	3
300	речь идет	3	3
301	произведения как	2	3
302	существования в	2	3
303	но это	2	3
304	можно было	3	3
