N	2gram	Voloshinov	SlovoVZh
1	не может	40	16
2	точки зрения	48	14
3	может быть	50	14
4	и его	33	13
5	как бы	31	13
6	и в	32	12
7	таким образом	29	12
8	в нашем	4	11
9	отношению к	9	11
10	по отношению	10	11
11	и не	42	10
12	так как	5	9
13	если бы	12	9
14	прежде всего	19	8
15	сказать что	7	7
16	слова и	8	6
17	при этом	13	6
18	в том	13	6
19	в нем	17	6
20	только в	14	6
21	в процессе	31	6
22	с помощью	11	6
23	в ней	5	6
24	никогда не	7	5
25	как в	5	5
26	в жизни	2	5
27	в виду	2	5
28	можно сказать	4	5
29	но в	13	5
30	том что	12	5
31	то же	19	5
32	как и	19	5
33	и следовательно	8	5
34	должна быть	6	5
35	мы ни	4	5
36	хотя бы	8	5
37	а не	15	5
38	то что	12	5
39	и др	3	5
40	отнюдь не	14	5
41	в самом	14	4
42	в этом	27	4
43	не только	18	4
44	в литературе	2	4
45	на самом	10	4
46	что не	4	4
47	как если	6	4
48	его в	7	4
49	и является	4	4
50	зависимости от	4	4
51	жизни и	4	4
52	социального общения	15	4
53	не в	13	4
54	высказывания как	7	4
55	ни было	15	4
56	с другой	6	4
57	все же	13	4
58	к нему	5	4
59	за пределы	8	4
60	и к	3	4
61	так и	21	4
62	и на	8	4
63	уже не	2	4
64	свое выражение	2	4
65	от того	4	4
66	как к	2	3
67	по себе	5	3
68	в каком	6	3
69	и вообще	3	3
70	о том	4	3
71	и для	15	3
72	слово в	5	3
73	внутренней речи	13	3
74	так называемой	3	3
75	не к	3	3
76	из этого	2	3
77	ни в	7	3
78	двух направлениях	2	3
79	все эти	8	3
80	в котором	6	3
81	социального взаимодействия	3	3
82	бы то	11	3
83	то ни	12	3
84	так же	10	3
85	в своей	5	3
86	мы не	6	3
87	справедливо и	2	3
88	конечно не	9	3
89	точка зрения	8	3
90	в себе	5	3
91	является продуктом	3	3
92	нуждается в	4	3
93	еще не	7	3
94	здесь не	2	3
95	все это	4	3
96	только на	7	3
97	жизненной речи	3	3
98	и ее	4	3
99	между тем	8	3
100	и с	4	3
101	но для	4	3
102	социальной группы	6	3
103	не менее	5	3
104	сих пор	10	3
105	до сих	10	3
106	отношении к	8	3
107	быть и	9	3
108	в пределах	7	3
109	формы и	4	3
110	на границе	4	3
111	самом деле	18	3
112	и пр	31	3
113	того что	5	3
114	тем не	3	3
115	и более	6	3
116	но и	17	3
117	для него	18	3
118	ясно что	6	3
119	одно и	3	2
120	конечно в	4	2
121	и то	4	2
122	в его	10	2
123	допустим что	4	2
124	к его	4	2
125	имеет место	2	2
126	до конца	6	2
127	и здесь	9	2
128	что в	5	2
129	высказывания так	2	2
130	эта последняя	3	2
131	социальной жизни	3	2
132	не так	2	2
133	стороны и	2	2
134	в отношении	7	2
135	в душе	3	2
136	не есть	6	2
137	в психике	2	2
138	социальной среды	4	2
139	выходят за	3	2
140	место в	5	2
141	для других	5	2
142	ничего не	9	2
143	общего с	3	2
144	речи в	4	2
145	словом и	2	2
146	с его	6	2
147	и те	7	2
148	идеологического творчества	11	2
149	в атмосфере	2	2
150	что и	5	2
151	это не	5	2
152	разрыв между	3	2
153	более того	7	2
154	и все	8	2
155	кроме того	7	2
156	там где	4	2
157	слова но	3	2
158	с точки	31	2
159	она не	2	2
160	но все	4	2
161	тому же	2	2
162	в своем	3	2
163	на все	2	2
164	материале слова	6	2
165	бы не	2	2
166	в зависимости	2	2
167	в данном	8	2
168	его к	4	2
169	данного коллектива	2	2
170	с другими	6	2
171	независимо от	3	2
172	из него	4	2
173	зависит от	2	2
174	же социальная	2	2
175	форму как	2	2
176	высказывания и	11	2
177	не остается	2	2
178	ясность и	2	2
179	и что	2	2
180	высказывание как	11	2
181	можем сказать	2	2
182	в то	7	2
183	себя и	2	2
184	перестает быть	2	2
185	те же	5	2
186	уже в	3	2
187	с этой	2	2
188	в этих	2	2
189	одной стороны	2	2
190	влияние на	3	2
191	форму и	3	2
192	связь с	4	2
193	в основном	10	2
194	и другие	2	2
195	в условиях	5	2
196	в настоящее	6	2
197	на материале	10	2
198	он не	5	2
199	в какой	5	2
200	делает его	3	2
201	самое справедливо	2	2
202	выражение и	4	2
203	оценки и	3	2
204	как же	5	2
205	точку зрения	4	2
206	эти моменты	2	2
207	как на	2	2
208	и потому	7	2
209	общения и	5	2
210	может стать	7	2
211	его как	2	2
212	но не	2	2
213	как это	2	2
214	если же	2	2
215	мы можем	6	2
216	до известной	2	2
217	что слово	5	2
218	могут быть	4	2
219	в материале	4	2
220	совпадает с	3	2
221	в чем	2	2
222	между собой	3	2
223	нет ничего	4	2
224	в форме	3	2
225	значения и	4	2
226	настоящее время	6	2
227	и так	2	2
228	является для	3	2
229	той социальной	2	2
230	с одной	2	2
231	какой степени	2	2
232	выражение в	8	2
233	относится к	4	2
234	к этому	10	2
235	же самое	9	2
236	слагается из	3	2
237	между ними	6	2
238	и значение	6	2
239	почти исключительно	2	2
240	тогда когда	2	2
241	и та	2	2
242	известной степени	2	2
243	но что	2	2
244	другой стороны	7	2
245	самое слово	2	2
246	в корне	6	2
247	вместе с	2	2
248	со всех	2	2
