N	2gram	Kanaev_Sov	Problema
1	и в	7	182
2	и не	6	152
3	не только	4	104
4	в этом	7	88
5	может быть	12	82
6	в том	4	81
7	в виде	2	69
8	у нас	3	68
9	и даже	2	66
10	не менее	2	58
11	тем не	2	56
12	а не	3	56
13	но в	3	55
14	для нас	3	50
15	отнюдь не	3	48
16	в себе	3	48
17	было бы	3	46
18	прежде всего	5	45
19	что в	2	44
20	в его	2	44
21	все эти	5	43
22	не в	3	43
23	таким образом	11	42
24	то же	3	42
25	если мы	4	42
26	так как	4	40
27	и что	2	40
28	не может	17	39
29	в этой	3	39
30	такого рода	2	39
31	во всяком	2	39
32	как бы	4	39
33	в нем	3	37
34	еще не	3	36
35	точки зрения	12	36
36	и все	3	36
37	когда мы	3	35
38	как и	6	34
39	уже не	2	34
40	или иной	2	33
41	в таком	2	33
42	же самое	2	33
43	в конце	3	31
44	все это	3	31
45	что такое	2	31
46	ясно что	3	30
47	в настоящее	2	30
48	настоящее время	2	30
49	как мы	2	29
50	все же	3	29
51	что же	5	28
52	мы не	9	28
53	а в	4	28
54	ничего не	6	27
55	в результате	6	26
56	вместе с	4	26
57	это не	4	26
58	с точки	5	25
59	мы можем	6	25
60	всяком случае	2	25
61	в нашем	2	24
62	при этом	3	23
63	то и	2	23
64	и есть	2	22
65	и к	3	22
66	мы должны	4	21
67	в самом	2	21
68	говорить о	2	21
69	и потому	3	20
70	уже в	3	19
71	самом деле	2	19
72	жизни и	4	19
73	совершенно не	2	17
74	но все	2	16
75	что она	3	16
76	у него	2	15
77	с этим	2	15
78	что все	2	14
79	в дальнейшем	4	14
80	то ни	2	14
81	в области	3	13
82	из них	4	13
83	не будем	2	12
84	в которой	2	12
85	с одной	2	12
86	в целом	4	12
87	что это	2	12
88	каждый раз	6	12
89	и во	2	11
90	тот же	2	11
91	не могут	2	11
92	состоит из	3	10
93	быть и	2	10
94	отличается от	3	10
95	в одном	3	10
96	он в	3	10
97	со всеми	2	10
98	из которых	2	10
99	вопрос о	4	9
100	в условиях	5	9
101	и наконец	5	9
102	их в	4	9
103	нет и	4	9
104	как он	3	8
105	между собой	3	8
106	говорим о	2	8
107	на его	2	8
108	и по	2	8
109	значение в	2	8
110	если же	2	8
111	тем же	2	8
112	тот или	2	8
113	из этих	2	8
114	с самого	3	8
115	что при	2	8
116	времени и	2	7
117	самого начала	3	7
118	может иметь	2	7
119	на этой	3	7
120	еще более	2	7
121	как угодно	2	7
122	в науке	2	7
123	же это	4	7
124	на этот	2	7
125	не можем	7	7
126	в зависимости	4	6
127	могут быть	2	6
128	же мы	2	6
129	зависимости от	4	6
130	одна из	3	5
131	он должен	2	5
132	только один	2	5
133	это за	2	5
134	в наших	3	5
135	не знаем	2	5
136	которой он	2	5
137	для его	2	5
138	ведь это	3	5
139	мы видели	4	5
140	говорить об	2	5
141	и будет	2	5
142	по мнению	2	5
143	в каждом	8	5
144	мы называем	3	4
145	при таком	3	4
146	отличие от	2	4
147	и они	2	4
148	дает нам	2	4
149	ни одна	2	4
150	этим мы	3	4
151	мы получаем	3	4
152	той же	2	4
153	на котором	2	4
154	но мы	3	4
155	можно назвать	2	4
156	и пр	2	4
157	в свою	2	4
158	о значении	2	4
159	поэтому мы	3	3
160	в отличие	2	3
161	всего только	2	3
162	к действию	3	3
163	в первом	3	3
164	только так	2	3
165	он может	3	3
166	в и	2	3
167	с помощью	4	3
168	а все	3	3
169	мы видим	2	3
170	конечно в	2	3
171	и мы	3	3
172	свою собственную	2	3
173	знаем что	2	3
174	который как	2	3
175	на этом	2	3
176	и именно	2	3
177	может не	3	3
178	этих двух	2	3
179	в системе	3	3
180	в третьем	2	2
181	она может	2	2
182	все те	2	2
183	в один	2	2
184	такой же	2	2
185	с общим	2	2
186	каждом отдельном	5	2
187	в новых	2	2
188	в два	3	2
189	видели что	3	2
190	только одна	6	2
191	роль в	2	2
192	не дает	2	2
193	представлять себе	2	2
194	свою очередь	2	2
195	или же	2	2
196	а на	2	2
197	можем назвать	3	2
198	ее на	2	2
199	такие же	2	2
200	так называемых	3	2
201	ли мы	3	2
202	жизни мы	2	2
203	из двух	3	2
204	само собою	3	2
205	момент времени	3	2
206	в живом	2	2
