N	2gram	Tiupa_Lite	VerxiiNi
1	и в	26	26
2	таким образом	4	22
3	с тем	2	18
4	русской культуры	3	15
5	в этом	19	15
6	вместе с	5	15
7	точки зрения	8	13
8	как бы	8	12
9	в том	22	11
10	не только	29	10
11	из этих	2	10
12	и с	4	10
13	может быть	24	10
14	что в	7	9
15	так как	2	9
16	в области	5	9
17	связи с	7	9
18	но и	25	9
19	но не	8	8
20	с другой	11	8
21	и не	19	8
22	как на	3	8
23	потому что	5	7
24	одной стороны	8	7
25	из них	5	7
26	то что	14	7
27	с одной	9	7
28	но в	5	7
29	том что	19	7
30	а с	2	7
31	в отношении	2	6
32	все же	6	6
33	к тому	3	6
34	о том	3	6
35	того же	5	6
36	в себе	8	6
37	в конце	6	6
38	несмотря на	3	6
39	всяком случае	2	6
40	что и	3	6
41	с точки	4	6
42	и т.д	8	6
43	все эти	2	6
44	так и	7	6
45	во всяком	3	6
46	никогда не	5	5
47	в мире	9	5
48	одной из	2	5
49	не имеет	2	5
50	том числе	2	5
51	в силу	4	5
52	к жизни	2	5
53	лишь в	4	5
54	в его	9	5
55	крайней мере	2	5
56	для того	2	5
57	а не	28	5
58	тому же	2	5
59	по крайней	2	5
60	далеко не	4	4
61	а в	5	4
62	в самом	4	4
63	в нем	4	4
64	не может	10	4
65	то есть	11	4
66	из которых	3	4
67	то же	13	4
68	и что	2	4
69	в этих	2	4
70	только в	8	4
71	что он	8	4
72	и только	4	4
73	он не	4	4
74	в этой	7	4
75	в то	12	4
76	в рамках	9	3
77	на нее	2	3
78	в своем	12	3
79	так или	8	3
80	к достижению	2	3
81	но с	3	3
82	если в	2	3
83	или иначе	9	3
84	уже не	9	3
85	хотя бы	3	3
86	и нет	4	3
87	к этому	2	3
88	путь к	2	3
89	в результате	2	3
90	тем не	4	3
91	представляет собой	5	3
92	и даже	9	3
93	и как	2	3
94	за собой	2	3
95	же как	3	3
96	при этом	23	3
97	не менее	11	3
98	то с	2	3
99	в качестве	21	3
100	с этой	6	3
101	в связи	4	3
102	так что	4	3
103	но по	2	3
104	отношению к	4	3
105	в одном	2	3
106	того что	7	3
107	для него	6	3
108	культуры и	2	3
109	одно из	3	2
110	для этого	5	2
111	этой точки	3	2
112	с идеей	2	2
113	и является	2	2
114	из этого	2	2
115	общего с	3	2
116	или иной	3	2
117	но при	2	2
118	а также	5	2
119	в россии	2	2
120	на то	2	2
121	для всех	5	2
122	этот путь	3	2
123	относится к	3	2
124	тех пор	2	2
125	состоит в	18	2
126	мы имеем	2	2
127	ко всему	4	2
128	в начале	4	2
129	свидетельствует о	3	2
130	ему в	2	2
131	вплоть до	4	2
132	между тем	2	2
133	одним из	8	2
134	в свою	2	2
135	не как	4	2
136	из своих	2	2
137	приводит к	4	2
138	и на	5	2
139	он один	3	2
140	уже в	7	2
141	еще не	4	2
142	мысль о	2	2
143	по своей	3	2
144	все что	3	2
145	наконец в	2	2
146	жизни и	6	2
147	не было	5	2
148	превращается в	2	2
149	этом отношении	5	2
150	не в	11	2
151	и наконец	2	2
152	ничего общего	2	2
153	ни было	2	2
154	перестает быть	5	2
155	же время	12	2
156	никем не	2	2
157	один из	7	2
158	в виду	4	2
159	со всеми	2	2
160	всем и	2	2
161	не к	3	2
162	без остатка	3	2
163	прежде всего	14	2
164	не могло	3	2
165	в глазах	4	2
166	с его	5	2
167	во всех	4	2
168	не с	2	2
169	по существу	4	2
