N	2gram	Tiupa_Anal	Morfolog
1	и т	3	62
2	может быть	33	61
3	таким образом	5	26
4	могут быть	12	21
5	так как	3	20
6	мы имеем	9	19
7	не может	26	19
8	в этом	31	18
9	в этих	3	17
10	представляет собой	23	17
11	и в	30	17
12	и не	33	16
13	представляют собой	4	16
14	этих случаях	2	15
15	прежде всего	8	14
16	при помощи	2	12
17	связи с	2	12
18	а не	25	11
19	вопрос о	2	10
20	то же	12	10
21	в том	36	10
22	не всегда	4	10
23	то что	11	10
24	так и	16	10
25	что в	7	10
26	что и	5	10
27	а затем	3	10
28	в связи	2	10
29	этом случае	4	10
30	все же	4	9
31	но и	29	9
32	с другой	7	9
33	не только	30	8
34	представляет собою	2	8
35	в результате	3	8
36	но не	13	8
37	а в	11	8
38	в качестве	38	8
39	как мы	3	8
40	не могут	3	7
41	том что	21	7
42	если в	3	7
43	по отношению	10	7
44	тем не	3	7
45	не менее	5	7
46	отношению к	9	7
47	как это	5	7
48	а также	8	7
49	точки зрения	10	7
50	один из	4	7
51	потому что	3	7
52	это не	7	6
53	не все	3	6
54	во всех	5	6
55	и как	6	6
56	или в	2	6
57	также и	3	6
58	подобно тому	5	6
59	в нашем	3	6
60	о том	11	6
61	с точки	6	6
62	как бы	15	6
63	вовсе не	4	6
64	ничего не	10	5
65	в поле	4	5
66	вслед за	3	5
67	хотя бы	4	5
68	было бы	4	5
69	в ходе	5	5
70	со стороны	5	5
71	героя в	2	5
72	что он	3	5
73	как в	3	5
74	далеко не	6	5
75	тому что	2	5
76	прежде чем	2	5
77	к тому	12	5
78	из которых	4	5
79	между тем	7	5
80	в целом	9	5
81	другой стороны	2	5
82	между собой	2	5
83	на его	4	5
84	тому как	5	5
85	все эти	3	5
86	он не	4	5
87	в первом	3	5
88	хотя и	4	5
89	сказать что	2	4
90	на самом	2	4
91	его в	2	4
92	независимо от	2	4
93	в то	10	4
94	к этому	2	4
95	на него	3	4
96	тем что	2	4
97	не является	3	4
98	еще не	5	4
99	могла бы	3	4
100	самом деле	3	4
101	из них	2	4
102	но в	11	4
103	на котором	3	4
104	и для	3	4
105	как и	23	4
106	оно может	3	4
107	уже не	6	4
108	и к	5	4
109	на этом	4	4
110	несмотря на	5	4
111	того чтобы	3	4
112	о его	5	4
113	говорить о	3	4
114	и наоборот	3	4
115	никто не	3	4
116	случае не	2	4
117	мы уже	2	4
118	или не	2	3
119	первом случае	2	3
120	то в	2	3
121	означает что	3	3
122	мы должны	2	3
123	здесь не	2	3
124	в которой	3	3
125	в собственном	3	3
126	то ни	3	3
127	вопроса о	4	3
128	даже не	2	3
129	и их	2	3
130	одному из	2	3
131	связывается с	2	3
132	если бы	6	3
133	также может	3	3
134	и тем	4	3
135	не в	17	3
136	для того	4	3
137	с этой	2	3
138	к месту	2	3
139	в один	4	3
140	в пределах	11	3
141	в какой	3	3
142	того что	5	3
143	приводит к	2	3
144	так например	2	3
145	как уже	5	3
146	ее в	2	3
147	к нему	4	3
148	на то	2	3
149	а то	3	3
150	ни в	5	3
151	состоит в	16	3
152	но мы	2	3
153	в начале	3	3
154	и что	2	3
155	и тогда	3	3
156	и по	2	3
157	и его	9	3
158	только в	8	3
159	в сущности	10	3
160	в ином	2	3
161	и есть	3	3
162	узнает о	2	3
163	в этой	12	3
164	в карты	2	3
165	бы то	3	3
166	с его	3	3
167	данном случае	3	2
168	это еще	2	2
169	появляется в	2	2
170	если они	2	2
171	себя в	8	2
172	в данном	6	2
173	из этих	2	2
174	от него	2	2
175	одной стороны	6	2
176	со смертью	4	2
177	дело не	5	2
178	собой в	2	2
179	бы в	3	2
180	во второй	3	2
181	ответ на	3	2
182	в обоих	3	2
183	иное как	6	2
184	не что	5	2
185	в другом	4	2
186	и даже	10	2
187	с двумя	2	2
188	и тот	2	2
189	или менее	2	2
190	роль в	3	2
191	что именно	2	2
192	превращается в	3	2
193	этом отношении	5	2
194	в частности	32	2
195	только для	3	2
196	ни было	4	2
197	одним из	3	2
198	встреча с	2	2
199	и за	3	2
200	его и	3	2
201	не означает	2	2
202	что иное	6	2
203	на вопрос	5	2
204	что ни	2	2
205	в чем	2	2
206	не знает	4	2
207	см ниже	3	2
208	с одной	7	2
209	в свое	3	2
210	а с	3	2
211	и более	5	2
212	не с	8	2
213	обоих случаях	2	2
214	одной из	2	2
215	на этот	2	2
216	не так	3	2
217	вообще не	2	2
218	он может	2	2
219	более или	2	2
220	могли бы	2	2
221	героя к	2	2
222	однако в	4	2
223	с другими	4	2
224	что мы	3	2
225	что же	3	2
226	может не	2	2
227	можно отметить	2	2
228	и больше	2	2
229	тогда как	30	2
230	себя и	5	2
231	все это	2	2
232	в основе	6	2
233	у него	5	2
234	как будто	6	2
235	можно сказать	6	2
236	из его	2	2
237	который в	3	2
238	для него	5	2
239	в одном	3	2
