N	2gram	Nazirov_Vr	Problema
1	и в	8	182
2	и не	5	152
3	то что	7	144
4	не только	9	104
5	в этом	8	88
6	может быть	4	82
7	том что	3	81
8	в том	3	81
9	но и	7	70
10	и даже	6	66
11	не менее	2	58
12	о том	4	57
13	но в	6	55
14	для нас	4	50
15	отнюдь не	2	48
16	в себе	2	48
17	при помощи	2	47
18	в своей	2	45
19	что в	7	44
20	в его	3	44
21	таким образом	2	42
22	как раз	2	42
23	то же	5	42
24	и то	2	40
25	что он	4	40
26	и что	8	40
27	не может	2	39
28	в этой	2	39
29	как бы	4	39
30	в нем	6	37
31	еще не	2	36
32	точки зрения	2	36
33	и все	7	36
34	в виду	4	34
35	и с	6	34
36	как и	6	34
37	уже не	2	34
38	в то	5	32
39	в своем	3	31
40	в конце	3	31
41	связи с	3	31
42	все это	4	31
43	так же	4	31
44	но это	2	31
45	все же	6	29
46	об этом	5	29
47	в связи	3	29
48	и о	3	28
49	а в	2	28
50	и как	3	27
51	и это	2	27
52	вместе с	2	26
53	это не	4	26
54	и его	3	26
55	с точки	2	25
56	тем более	2	24
57	на то	3	23
58	при этом	4	23
59	никогда не	2	22
60	его в	3	22
61	и ее	2	21
62	а также	2	21
63	но как	2	20
64	о чем	2	20
65	несмотря на	4	20
66	тем что	3	20
67	он не	3	19
68	с ним	4	19
69	уже в	4	19
70	в них	2	19
71	не было	5	18
72	в ней	4	18
73	же в	2	16
74	далеко не	3	16
75	в чем	3	15
76	у него	5	15
77	в той	2	15
78	в котором	6	14
79	из них	2	13
80	на первый	2	12
81	в начале	6	12
82	он сам	2	12
83	и во	3	11
84	в нашей	2	11
85	в истории	4	11
86	и у	3	11
87	что у	3	10
88	в году	18	10
89	но он	3	10
90	как же	2	9
91	в своих	4	9
92	их в	2	9
93	для него	2	8
94	в период	2	8
95	он был	3	8
96	и он	2	8
97	а с	2	7
98	же не	2	7
99	в это	2	7
100	и а	2	7
101	же как	2	7
102	это в	2	7
103	в известном	2	6
104	а н	2	6
105	после этого	2	6
106	во время	2	6
107	с его	3	6
108	и уже	3	6
109	в него	2	6
110	не мог	2	6
111	отношения к	2	6
112	его на	2	5
113	одна из	2	5
114	отношение к	2	5
115	об этой	2	5
116	о себе	3	5
117	я не	3	5
118	между тем	5	5
119	о нем	6	5
120	у достоевского	4	5
121	к этому	3	5
122	по мнению	2	5
123	в этот	3	5
124	человека в	3	5
125	одним из	3	5
126	раз в	3	5
127	наряду с	3	4
128	в эту	2	4
129	в одну	2	4
130	что к	2	4
131	он тоже	2	4
132	время и	2	4
133	начиная с	2	4
134	с нею	2	4
135	к ним	2	4
136	на это	2	4
137	в свою	2	4
138	в русской	3	4
139	с которым	2	4
140	и далее	2	3
141	том же	2	3
142	в те	3	3
143	его с	2	3
144	столь же	2	3
145	о которой	2	3
146	имел в	3	3
147	в романе	6	3
148	в россии	5	3
149	эти слова	3	3
150	т е	3	3
151	русской литературе	3	3
152	речь идет	3	3
153	там же	2	3
154	место в	2	3
155	в момент	2	2
156	в глазах	2	2
157	у тургенева	11	2
158	этот момент	2	2
159	россии в	2	2
160	который был	3	2
161	на кавказ	2	2
162	года в	7	2
163	во многом	4	2
164	тургенева и	18	2
165	чтобы он	3	2
166	в в	2	2
167	он пишет	2	2
168	из подполья	3	2
169	в бесах	10	2
170	и некрасова	2	2
171	что есть	3	2
172	человека с	2	2
173	что я	2	2
174	и стал	2	2
175	на основе	2	2
