N	2gram	Berdyaev_M	Hudozhes
1	то есть	3	26
2	в мире	12	24
3	и в	61	23
4	не только	42	20
5	в том	9	20
6	может быть	42	19
7	и не	26	16
8	но и	34	14
9	а в	4	13
10	в себе	12	13
11	но не	8	13
12	а не	36	13
13	то же	4	12
14	в этом	34	12
15	и его	13	12
16	так и	5	12
17	как бы	10	11
18	точки зрения	6	11
19	в его	10	11
20	но в	12	10
21	по отношению	4	10
22	отношению к	4	10
23	не в	16	9
24	том что	7	9
25	не может	39	9
26	в то	2	8
27	себя в	6	8
28	в самом	15	7
29	по своей	4	7
30	отношение к	9	7
31	я и	3	7
32	лишь в	8	7
33	в своей	18	7
34	только в	7	7
35	что в	12	7
36	в основе	4	7
37	уже не	8	6
38	приводит к	2	6
39	в нем	26	6
40	в ее	3	6
41	с его	6	6
42	ни в	3	5
43	могут быть	2	5
44	место в	4	5
45	как к	2	5
46	для того	4	5
47	того чтобы	4	5
48	в виду	2	5
49	в их	4	5
50	что он	16	5
51	то что	10	5
52	прежде всего	18	5
53	того что	13	5
54	для него	28	5
55	личности в	4	4
56	и то	2	4
57	сказать что	5	4
58	в отношении	6	4
59	его в	6	4
60	это не	10	4
61	к тому	6	4
62	на почве	3	4
63	между тем	2	4
64	входит в	3	4
65	не знает	12	4
66	и как	3	4
67	и что	4	4
68	сознания в	2	4
69	в этих	6	4
70	на смену	3	4
71	он не	34	4
72	отношения к	6	4
73	в своем	17	4
74	хотя и	2	4
75	со своей	2	4
76	направленной на	2	3
77	в жизни	7	3
78	к нему	8	3
79	и для	7	3
80	по своему	3	3
81	в иной	3	3
82	и ее	2	3
83	как и	14	3
84	потому что	25	3
85	о чем	3	3
86	по преимуществу	4	3
87	в русской	4	3
88	в свою	5	3
89	человеческой жизни	4	3
90	и к	9	3
91	во всех	3	3
92	личности и	3	3
93	человека с	2	3
94	и на	9	3
95	мог бы	5	3
96	тому как	2	3
97	на деле	4	3
98	если бы	5	3
99	в той	3	3
100	не будет	3	3
101	другого в	2	3
102	он должен	4	3
103	подобно тому	2	3
104	себя и	6	3
105	с этой	4	3
106	есть в	3	3
107	в которой	8	3
108	никто не	3	3
109	в момент	3	3
110	принадлежит к	3	3
111	отношении к	4	3
112	человека к	10	3
113	но он	17	3
114	никогда не	30	2
115	самим собою	2	2
116	о том	5	2
117	в каком	2	2
118	как в	9	2
119	чтобы не	4	2
120	тот кто	5	2
121	одно из	3	2
122	не от	3	2
123	и это	16	2
124	тому что	2	2
125	и потому	17	2
126	от всех	2	2
127	а для	2	2
128	значительной степени	2	2
129	то в	2	2
130	мира с	2	2
131	в самой	8	2
132	в чем	3	2
133	что такое	2	2
134	жизни в	3	2
135	все эти	3	2
136	личности к	2	2
137	о себе	3	2
138	человека и	19	2
139	мира и	6	2
140	не все	3	2
141	оно не	3	2
142	что она	5	2
143	с их	2	2
144	должен быть	4	2
145	за пределы	5	2
146	быть и	2	2
147	говорит что	3	2
148	только и	7	2
149	не как	4	2
150	но она	3	2
151	с самим	5	2
152	так же	5	2
153	отличается от	2	2
154	об этом	2	2
155	но на	2	2
156	другим и	2	2
157	и по	4	2
158	всякий раз	2	2
159	он и	2	2
160	я не	4	2
161	один из	9	2
162	в них	5	2
163	по себе	2	2
164	которая не	2	2
165	ведет к	16	2
166	роль в	2	2
167	на этом	5	2
168	это и	7	2
169	в последней	2	2
170	мира в	2	2
171	все это	6	2
172	к другому	4	2
173	способность к	2	2
174	бы не	4	2
175	что и	6	2
176	в значительной	2	2
177	от своего	2	2
178	не принадлежит	3	2
179	xix века	4	2
180	одним из	2	2
181	к своему	2	2
182	самом деле	2	2
183	и более	2	2
184	анны карениной	2	2
185	в нашем	2	2
186	в этой	12	2
187	ни к	2	2
188	жизни то	2	2
189	жизни а	3	2
190	с ним	5	2
191	духовной жизни	3	2
192	у него	38	2
193	с человеком	2	2
