N	2gram	Trubetskoy	VelikijI
1	и не	8	20
2	и в	26	16
3	так как	9	9
4	то что	7	9
5	к богу	3	8
6	еще не	2	8
7	от бога	2	8
8	и потому	6	7
9	а не	5	7
10	религиозного сознания	6	5
11	в мире	5	5
12	как бы	12	5
13	бога и	4	5
14	но и	9	5
15	все это	6	5
16	того что	3	5
17	что все	4	4
18	и все	2	4
19	добра и	2	4
20	в котором	4	4
21	потому что	7	4
22	все что	2	4
23	в нем	4	4
24	в образе	2	4
25	что мы	2	4
26	в его	5	4
27	в этом	15	4
28	что он	4	4
29	так и	6	4
30	никогда не	5	3
31	превращается в	2	3
32	что в	9	3
33	в том	11	3
34	и для	5	3
35	не имеет	5	3
36	но в	7	3
37	к тому	6	3
38	они в	2	3
39	хотя бы	3	3
40	во всех	2	3
41	в конце	6	3
42	в них	2	3
43	жизни и	2	3
44	что и	6	3
45	не было	2	3
46	лишь в	5	3
47	если не	2	3
48	и что	4	3
49	не в	2	3
50	все эти	6	3
51	в этих	4	3
52	тот же	2	3
53	с его	2	3
54	с тем	18	2
55	богу и	2	2
56	но не	8	2
57	без бога	3	2
58	и это	2	2
59	не только	10	2
60	не могут	2	2
61	а в	4	2
62	том что	7	2
63	и люди	2	2
64	во всяком	6	2
65	и тогда	4	2
66	вслед за	2	2
67	уже не	3	2
68	не к	2	2
69	один из	2	2
70	под разными	2	2
71	того чтобы	5	2
72	религиозное сознание	2	2
73	конечно не	2	2
74	только в	4	2
75	людей и	2	2
76	прежде всего	2	2
77	его не	2	2
78	между тем	2	2
79	а с	7	2
80	для него	3	2
81	не с	2	2
