N	3gram	Propp_Isto	formyVre
1	но и в	4	12
2	не только в	9	11
3	до сих пор	4	10
4	и т д	25	7
5	не может быть	5	7
6	с одной стороны	11	6
7	во всех этих	6	6
8	в том что	7	5
9	мы имеем в	7	5
10	как и в	3	5
11	в то время	4	5
12	то время как	4	4
13	не могло быть	2	4
14	в этом случае	4	4
15	и в других	2	4
16	друг на друга	2	4
17	с другой стороны	17	4
18	но все же	3	4
19	во всяком случае	3	4
20	по отношению к	3	4
21	в другом месте	2	3
22	в зависимости от	3	3
23	о том как	3	3
24	о том что	9	3
25	так и в	3	3
26	вместе с тем	6	3
27	так же как	4	3
28	в царстве мертвых	2	3
29	это значит что	2	2
30	с тем что	2	2
31	так как он	4	2
32	у него есть	2	2
33	что и в	3	2
34	в данном случае	7	2
35	и вместе с	3	2
36	лежит в основе	2	2
37	похожи друг на	2	2
38	таким образом и	3	2
