N	3gram	Bakhtin_fo	Vladivir
1	в том что	4	29
2	о том что	2	22
3	в то время	3	13
4	дело в том	2	13
5	в связи с	12	12
6	к тому же	2	11
7	в то же	10	10
8	с точки зрения	9	10
9	не может быть	4	10
10	вместе с тем	3	10
11	как раз и	2	9
12	то же время	13	9
13	а также и	3	8
14	это значит что	2	7
15	на первый план	2	7
16	в данном случае	2	6
17	в отличие от	3	6
18	и в этом	2	6
19	то время как	2	5
20	и в то	7	5
21	само собой разумеется	2	5
22	не только в	6	5
23	как мы уже	11	4
24	в этом отношении	5	4
25	мы будем говорить	2	4
26	в том же	3	4
27	также и в	3	4
28	с одной стороны	3	4
29	для того чтобы	11	4
30	и т д	3	4
31	с самого начала	3	3
32	в том числе	7	3
33	и до конца	2	3
34	и в частности	2	3
35	собой разумеется что	2	3
36	мы уже сказали	4	3
37	тем более что	2	3
38	и прежде всего	4	2
39	и то же	4	2
40	может быть и	4	2
41	с тем что	2	2
42	но в то	2	2
43	так же как	2	2
44	до сих пор	4	2
45	как мы увидим	2	2
46	одно и то	4	2
47	одной стороны и	2	2
48	ни в чем	3	2
49	а следовательно и	3	2
50	так как он	2	2
51	с этим в	2	2
52	связи с этим	4	2
