N	3gram	Vygotskiy_	Problemy
1	с точки зрения	11	25
2	и т п	7	18
3	на самом деле	3	15
4	не может быть	3	14
5	до сих пор	6	10
6	с самого начала	10	9
7	в самом деле	29	9
8	во всяком случае	6	9
9	с другой стороны	5	9
10	друг с другом	2	8
11	в том что	20	8
12	мы уже говорили	4	7
13	и в этом	6	7
14	и т д	6	7
15	том что он	3	6
16	сам по себе	2	5
17	к тому же	2	5
18	можно было бы	6	5
19	дело идет о	2	5
20	как если бы	3	4
21	о том что	8	4
22	сами по себе	3	4
23	а вовсе не	2	4
24	смысле этого слова	5	4
25	к тому чтобы	4	4
26	что в нем	3	4
27	все то что	13	3
28	и то же	3	3
29	как мы видели	2	3
30	в то время	4	3
31	в данном случае	5	3
32	на то что	16	3
33	как мы увидим	2	3
34	одно и то	3	3
35	не только не	3	3
36	каждый из них	3	3
37	и в самом	15	3
38	то время как	3	3
39	никак не может	3	3
40	мы увидим что	9	3
41	в той же	2	3
42	в том и	2	3
43	то же самое	12	2
44	этой точки зрения	2	2
45	никогда не может	2	2
46	то что он	3	2
47	одна и та	2	2
48	то что в	5	2
49	только то что	3	2
50	и та же	3	2
51	что он не	4	2
52	этого слова и	2	2
53	и в другом	2	2
54	в один из	2	2
55	в лучшем случае	2	2
56	к тому что	5	2
57	в этом рассказе	3	2
58	я не могу	3	2
59	вместе с тем	3	2
60	для того чтобы	17	2
61	и в сущности	2	2
62	в свою очередь	3	2
