N	2gram	Berdyaev_O	FransuaR
1	и в	19	367
2	в этом	12	112
3	и не	13	101
4	и его	4	99
5	в его	7	98
6	прежде всего	9	92
7	не только	11	87
8	но и	13	84
9	как бы	3	82
10	все эти	4	79
11	как и	6	76
12	в нем	10	75
13	но в	2	75
14	и на	2	72
15	в том	5	71
16	и все	10	66
17	так и	2	65
18	в этой	5	65
19	и с	2	64
20	все это	6	62
21	что в	4	52
22	в своем	2	51
23	так как	2	46
24	том что	2	45
25	то что	5	41
26	у него	22	40
27	в самом	5	38
28	с его	4	36
29	может быть	11	35
30	он был	8	35
31	о том	3	35
32	сказать что	2	34
33	в себе	3	34
34	он не	7	32
35	для него	5	32
36	в своей	2	31
37	до конца	7	31
38	никогда не	9	30
39	и потому	2	30
40	потому что	9	30
41	но он	7	30
42	в этих	3	29
43	не может	4	29
44	еще не	3	29
45	его в	2	29
46	не в	11	29
47	что он	3	29
48	и к	2	28
49	все же	2	27
50	отношение к	5	24
51	того чтобы	4	24
52	в ее	2	24
53	и от	3	24
54	и для	2	23
55	это не	3	23
56	с ним	3	23
57	к нему	3	23
58	и о	2	22
59	а в	5	22
60	что и	2	22
61	тем что	2	22
62	не было	9	22
63	в своих	3	21
64	уже в	2	21
65	хотя и	2	19
66	к этому	2	19
67	было бы	3	19
68	для того	3	17
69	того что	3	17
70	и вот	3	17
71	а не	11	17
72	ничего не	2	16
73	в другом	2	16
74	одно из	2	15
75	в истории	2	15
76	никто не	3	15
77	мысли и	3	15
78	в которой	2	15
79	в самой	9	15
80	все что	3	14
81	и он	8	14
82	что все	2	13
83	это было	3	13
84	в других	2	13
85	и есть	3	13
86	лишь в	7	12
87	не могут	3	12
88	жизни в	2	12
89	и ее	3	12
90	он в	2	12
91	в творчестве	5	12
92	ни с	7	11
93	момент в	2	11
94	что они	2	11
95	на земле	4	10
96	человека и	10	10
97	что для	2	10
98	даже и	2	10
99	что не	4	9
100	и то	2	9
101	как к	2	9
102	не имеет	2	9
103	ведь это	2	9
104	от него	7	8
105	так что	2	8
106	с тем	2	8
107	движение в	2	8
108	и ни	2	8
109	был еще	2	8
110	всего в	2	8
111	в этот	2	8
112	что у	2	7
113	его не	2	7
114	и очень	2	7
115	и там	2	7
116	нет ничего	7	7
117	и этим	2	7
118	ее в	2	6
119	могут быть	3	6
120	и мысли	4	6
121	не могли	2	6
122	хотя бы	3	6
123	него и	4	6
124	своей жизни	2	5
125	которую он	2	5
126	когда он	3	5
127	чем в	2	5
128	в человеке	9	5
129	вместо того	2	5
130	совсем не	2	5
131	должно быть	2	5
132	ко всем	2	5
133	должен был	2	5
134	в человеческом	2	5
135	он сам	4	5
136	свобода и	2	5
137	и из	2	5
138	все в	4	5
139	человека в	11	5
140	этого мира	2	4
141	в уста	2	4
142	о которой	2	4
143	к этой	2	4
144	что человек	3	4
145	учение о	2	4
146	только и	4	4
147	о его	5	4
148	к ней	2	4
149	чем на	3	4
150	ничто не	2	4
151	по себе	2	4
152	у кого	2	3
153	в глубь	2	3
154	те которые	2	3
155	свободы и	2	3
156	он всегда	7	3
157	всего и	2	3
158	человеку и	5	3
159	к человеку	9	3
160	же это	2	3
161	него в	5	3
162	человек не	7	3
163	о природе	3	3
164	подойти к	2	3
165	с которой	2	3
166	него не	2	3
167	не есть	2	3
168	природы и	2	3
169	легенда о	2	3
170	о человеке	29	2
171	различие между	3	2
172	нужно искать	5	2
173	человека а	2	2
174	нем нет	3	2
175	за все	2	2
176	в самую	4	2
177	в глубине	7	2
178	быть может	3	2
179	можно ли	2	2
180	всегда есть	4	2
181	что есть	2	2
182	него всегда	2	2
183	для человека	2	2
184	этом он	2	2
185	сложнее и	2	2
186	человеке и	5	2
187	было для	2	2
188	любовь к	2	2
189	и нет	2	2
190	в единстве	2	2
191	не все	2	2
192	в глубину	2	2
193	художественном творчестве	2	2
194	разных сторон	2	2
195	человеческих отношений	4	2
