N	2gram	Voloshinov	Hudozhes
1	и в	12	23
2	не только	4	20
3	в том	6	20
4	может быть	14	19
5	при этом	6	19
6	и не	10	16
7	внутренней речи	3	14
8	но и	3	14
9	в себе	3	13
10	но не	2	13
11	а не	5	13
12	то же	5	12
13	в этом	4	12
14	и его	13	12
15	так и	4	12
16	как бы	13	11
17	точки зрения	14	11
18	в его	2	11
19	но в	5	10
20	по отношению	11	10
21	отношению к	11	10
22	не в	4	9
23	в душе	2	9
24	том что	5	9
25	не может	16	9
26	с другой	4	9
27	в то	2	8
28	в самом	4	7
29	отношение к	4	7
30	в своей	3	7
31	только в	6	7
32	как это	2	7
33	что в	2	7
34	мы имеем	2	6
35	уже не	4	6
36	другой стороны	2	6
37	в нем	6	6
38	можно сказать	5	6
39	художественного творчества	3	6
40	с его	2	6
41	ни в	3	5
42	с другими	2	5
43	могут быть	2	5
44	в художественном	3	5
45	между ними	2	5
46	место в	2	5
47	как к	3	5
48	в виду	5	5
49	героя и	5	5
50	то что	5	5
51	не менее	3	5
52	прежде всего	8	5
53	того что	3	5
54	для него	3	5
55	и то	2	4
56	сказать что	7	4
57	в отношении	2	4
58	его в	4	4
59	это не	2	4
60	между тем	3	4
61	в данном	2	4
62	в форме	2	4
63	художественного произведения	7	4
64	еще не	3	4
65	и что	2	4
66	в этих	2	4
67	он не	2	4
68	в себя	2	4
69	в своем	2	4
70	в жизни	5	3
71	к нему	4	3
72	и для	3	3
73	искусства и	2	3
74	одно и	2	3
75	и притом	2	3
76	как уже	2	3
77	и ее	3	3
78	автора и	2	3
79	как и	5	3
80	одной стороны	2	3
81	имеем в	2	3
82	к его	2	3
83	и к	4	3
84	к содержанию	6	3
85	тем не	3	3
86	и на	4	3
87	если бы	9	3
88	с точки	2	3
89	он должен	3	3
90	художественное произведение	3	3
91	себя и	2	3
92	с этой	2	3
93	таким образом	12	3
94	в момент	2	3
95	была бы	2	3
96	отношении к	3	3
97	в пределах	3	3
98	с одной	2	3
99	известной степени	2	3
100	имеет место	2	3
101	никогда не	5	2
102	о том	3	2
103	в литературе	4	2
104	в каком	3	2
105	как в	5	2
106	и др	5	2
107	и потому	2	2
108	от всех	2	2
109	высказывания и	2	2
110	в чем	2	2
111	к герою	3	2
112	все эти	3	2
113	оно не	2	2
114	за пределы	4	2
115	быть и	3	2
116	до известной	2	2
117	совпадает с	2	2
118	частной жизни	2	2
119	этой точки	3	2
120	значения и	2	2
121	так же	3	2
122	и по	3	2
123	между собой	2	2
124	отнюдь не	5	2
125	в них	3	2
126	по себе	3	2
127	слова и	6	2
128	все это	3	2
129	бы не	2	2
130	из этого	3	2
131	что и	2	2
132	истории литературы	2	2
133	то ни	3	2
134	ни было	4	2
135	и другие	2	2
136	в формах	2	2
137	делает его	2	2
138	самом деле	3	2
139	и более	3	2
140	в нашем	11	2
141	с ним	3	2
142	этих двух	2	2
143	в какой	2	2
144	бы то	3	2
145	здесь не	3	2
