N	3gram	Bakhtin_Fr	Marksizm
1	с точки зрения	4	46
2	не может быть	2	25
3	в то же	13	15
4	по отношению к	2	15
5	то же время	13	15
6	в связи с	5	14
7	в том что	2	14
8	для того чтобы	5	11
9	до сих пор	6	11
10	в отличие от	3	10
11	но в то	7	9
12	в большинстве случаев	3	9
13	может быть и	2	8
14	в настоящее время	2	8
15	смысле этого слова	2	7
16	как мы знаем	2	7
17	с другой стороны	5	7
18	в свою очередь	2	7
19	во всяком случае	2	6
20	на самом деле	5	6
21	с одной стороны	4	6
22	как мы уже	8	6
23	той или иной	2	5
24	как мы видели	4	5
25	в этом отношении	4	5
26	и прежде всего	3	4
27	можно сказать что	2	4
28	о том что	3	4
29	в узком смысле	2	4
30	вполне понятно что	3	4
31	но все же	2	4
32	и тот же	3	3
33	в конце концов	3	3
34	в нашу задачу	2	3
35	в том числе	4	3
36	одной и той	2	3
37	можно было бы	2	3
38	и той же	2	3
39	одной стороны и	2	3
40	не только в	3	3
41	но и в	4	3
42	один и тот	3	3
43	том числе и	3	3
44	в значительной степени	2	3
45	в той или	2	3
46	мы встречаем в	2	2
47	и в других	3	2
48	в данном случае	3	2
49	как и в	2	2
50	в его целом	3	2
51	и т.п эта	2	2
52	в нашем примере	3	2
53	как и все	5	2
54	и так сказать	2	2
55	это и есть	2	2
