N	3gram	Propp_Isto	VeschiIm
1	и т д	30	38
2	не может быть	4	24
3	не что иное	6	12
4	что иное как	6	12
5	содержит в себе	2	11
6	тем не менее	6	11
7	в том что	8	9
8	есть не что	2	8
9	т е в	2	7
10	на то что	4	7
11	по сравнению с	2	7
12	подобно тому как	3	5
13	не только в	3	5
14	и то что	4	5
15	не только не	2	4
16	то время как	2	4
17	о том что	3	4
18	в то время	2	4
19	это и есть	2	4
20	можно сказать что	2	3
21	можно было бы	2	3
22	с одной стороны	2	3
23	с другой стороны	10	3
24	мы видели что	6	3
25	во всяком случае	2	2
26	но все же	5	2
27	он ничего не	2	2
28	в связи с	5	2
29	мы видим что	6	2
30	так же как	7	2
31	друг с другом	2	2
32	в данном случае	6	2
