N	2gram	Voloshinov	Tragedij
1	и в	28	18
2	в этом	28	9
3	не только	10	8
4	и не	34	7
5	он сам	5	7
6	и на	9	7
7	как бы	19	7
8	и с	10	7
9	может быть	28	7
10	же время	6	6
11	что он	12	6
12	но в	13	6
13	и его	22	6
14	у него	4	6
15	что это	5	5
16	все же	8	5
17	это не	5	5
18	то же	12	5
19	как и	13	5
20	в дальнейшем	2	5
21	так и	14	5
22	не может	30	5
23	в то	7	5
24	что в	7	4
25	еще не	8	4
26	в целом	4	4
27	но и	10	4
28	прежде всего	26	4
29	об этом	7	4
30	том что	12	4
31	в этой	7	4
32	и что	6	4
33	так же	4	4
34	и все	13	4
35	все это	12	4
36	в нем	7	4
37	то что	17	4
38	но это	4	4
39	я не	4	4
40	и даже	3	4
41	в себе	7	4
42	один из	10	3
43	и как	3	3
44	в мире	2	3
45	уже в	3	3
46	к нему	9	3
47	в своем	4	3
48	при этом	8	3
49	в его	25	3
50	что с	2	3
51	все эти	15	3
52	в поле	2	3
53	мог бы	2	3
54	отнюдь не	5	3
55	в основном	4	3
56	с ее	4	3
57	и сам	3	3
58	должно быть	2	3
59	как в	4	3
60	как это	5	3
61	для него	12	3
62	в конце	2	3
63	с ним	14	3
64	никогда не	10	2
65	в самом	12	2
66	и то	3	2
67	но все	2	2
68	данном случае	4	2
69	по поводу	5	2
70	до конца	7	2
71	одна из	4	2
72	даже если	2	2
73	друг друга	2	2
74	в душе	13	2
75	вопрос о	2	2
76	в одном	3	2
77	его в	11	2
78	не имеет	2	2
79	раз и	3	2
80	ничего не	5	2
81	в силах	3	2
82	нет в	2	2
83	отца и	3	2
84	в данном	4	2
85	не могут	7	2
86	в ее	5	2
87	что все	7	2
88	к тому	6	2
89	а как	3	2
90	говорит о	3	2
91	о том	3	2
92	что и	5	2
93	ни в	12	2
94	не в	10	2
95	это уже	3	2
96	потому что	4	2
97	на всем	3	2
98	ребенка в	3	2
99	только о	2	2
100	в таком	6	2
101	отцом и	3	2
102	он не	10	2
103	и ее	7	2
104	ничем не	2	2
105	под влиянием	3	2
106	и за	4	2
107	в первом	2	2
108	бы и	2	2
109	уже не	9	2
110	что она	5	2
111	по мнению	8	2
112	личности и	4	2
113	не так	3	2
114	отличие от	2	2
115	в том	10	2
116	с первого	2	2
117	в глаза	2	2
118	и до	5	2
119	чем он	2	2
120	в отличие	2	2
121	он и	2	2
122	с его	9	2
123	во сне	3	2
124	он был	3	2
125	отношение к	7	2
