N	2gram	Vygotskiy_	Istorich
1	и в	47	181
2	может быть	20	115
3	не только	36	114
4	что он	13	111
5	мы имеем	3	102
6	что в	23	90
7	но и	19	85
8	в этом	47	81
9	так как	25	75
10	то что	40	73
11	таким образом	38	72
12	вместе с	19	71
13	и не	27	67
14	все же	7	65
15	мы видим	10	65
16	в этих	2	64
17	еще не	5	63
18	не может	23	61
19	так же	26	57
20	то же	16	56
21	никогда не	7	56
22	в том	38	53
23	том что	28	53
24	с другой	7	52
25	а в	3	52
26	потому что	26	52
27	что и	4	51
28	и что	14	51
29	и здесь	5	51
30	мы видели	10	49
31	о том	5	48
32	а не	7	48
33	его в	7	47
34	не в	7	47
35	другой стороны	3	46
36	мы должны	7	44
37	но в	9	44
38	это не	6	43
39	и его	14	43
40	мы знаем	5	42
41	в нем	6	42
42	показывает что	6	42
43	только в	24	42
44	как в	7	42
45	представление о	8	41
46	или в	2	39
47	в его	7	38
48	для нас	4	38
49	тем что	14	38
50	и на	4	38
51	что здесь	2	37
52	так и	8	37
53	он не	5	37
54	как и	19	37
55	мы уже	5	37
56	мы можем	7	36
57	знаем что	3	36
58	здесь мы	2	35
59	с тем	8	35
60	что они	11	35
61	все эти	7	35
62	мы не	10	35
63	во время	2	34
64	что это	7	34
65	но не	13	34
66	связи с	4	34
67	у него	2	34
68	представления о	2	33
69	там где	7	33
70	же как	14	33
71	об этом	4	33
72	сих пор	6	32
73	в качестве	9	32
74	представляет собой	23	31
75	ничего не	2	31
76	прежде всего	9	31
77	один из	3	31
78	с этим	5	30
79	до сих	6	30
80	с одной	7	30
81	к нему	5	30
82	но все	2	29
83	как мы	24	29
84	одной стороны	7	29
85	этом случае	15	29
86	но это	4	29
87	например в	5	28
88	что она	8	28
89	в иной	2	28
90	и с	5	28
91	так что	8	27
92	того что	27	27
93	могут быть	7	27
94	в ином	3	27
95	в ней	5	26
96	как это	7	26
97	представляют собой	2	26
98	вопрос о	9	25
99	и он	4	25
100	раньше чем	2	24
101	было бы	12	24
102	если бы	8	24
103	в виде	2	24
104	что мы	14	24
105	к этому	2	24
106	не менее	6	24
107	того как	6	24
108	все это	5	23
109	когда он	2	23
110	тем не	4	23
111	в частности	4	23
112	точно так	3	23
113	показывают что	2	23
114	в этой	7	23
115	их в	2	23
116	и это	2	23
117	как бы	13	23
118	при этом	4	22
119	и по	6	22
120	с ним	5	22
121	в одном	4	21
122	сказать что	18	21
123	ее в	11	21
124	в другом	3	21
125	должны были	2	21
126	к тому	13	21
127	они не	2	21
128	связано с	4	21
129	она не	7	20
130	одна из	2	20
131	в свете	9	20
132	в других	2	20
133	из них	2	20
134	в силу	21	20
135	наряду с	2	20
136	видели что	3	20
137	эта связь	2	20
138	очень часто	2	20
139	из этих	6	20
140	а затем	2	19
141	и как	7	19
142	что у	4	19
143	с собой	3	19
144	в другой	4	19
145	на том	2	19
146	на то	5	19
147	но он	3	19
148	что этот	6	18
149	в данном	7	18
150	вовсе не	3	18
151	в то	10	18
152	нас к	10	17
153	по существу	2	17
154	то и	5	17
155	и только	7	17
156	том как	2	17
157	в них	3	17
158	связана с	4	16
159	и она	2	16
160	перед нами	3	16
161	и все	5	16
162	между двумя	5	16
163	в котором	6	16
164	этот вопрос	2	16
165	во всех	9	16
166	данном случае	5	15
167	в целом	7	15
168	на его	3	15
169	в своей	4	15
170	даже в	2	15
171	и то	10	15
172	его и	2	15
173	в пределах	3	15
174	друг друга	9	15
175	и даже	3	15
176	в которых	3	15
177	в одной	6	15
178	и тем	10	15
179	и там	3	15
180	что при	4	15
181	отношение к	8	14
182	у нас	3	14
183	но мы	5	14
184	с этой	5	14
185	на вопрос	6	14
186	должен был	2	14
187	можно было	7	14
188	с ней	3	14
189	отношению к	9	14
190	из которых	3	14
191	и есть	4	14
192	и ее	3	14
193	одной из	4	14
194	по отношению	10	14
195	и наконец	4	14
196	увидим ниже	3	14
197	находится в	3	14
198	образом мы	2	14
199	на ней	2	13
200	и для	5	13
201	все что	7	13
202	и от	6	13
203	на котором	4	13
204	на этом	4	13
