N	2gram	Tiupa_Narr	Formalny
1	и в	22	95
2	и не	34	78
3	может быть	24	66
4	в этом	23	61
5	не может	16	57
6	вовсе не	2	53
7	таким образом	5	52
8	и его	12	51
9	так и	12	50
10	точки зрения	8	47
11	в нем	9	42
12	в его	12	42
13	прежде всего	7	41
14	с точки	2	40
15	как и	15	39
16	и т	3	37
17	не в	12	35
18	в самом	8	35
19	в процессе	2	34
20	а не	27	34
21	но и	39	33
22	то же	12	32
23	самом деле	4	32
24	не только	50	30
25	в пределах	2	28
26	в том	20	26
27	отнюдь не	6	26
28	если бы	9	26
29	то что	14	25
30	при этом	31	24
31	в своей	8	24
32	лишь в	3	24
33	в ней	5	23
34	связи с	3	23
35	было бы	2	23
36	с помощью	2	23
37	в то	9	22
38	и ее	3	22
39	как бы	11	21
40	что в	6	21
41	и с	3	21
42	не менее	6	20
43	между ними	3	20
44	и от	3	20
45	входит в	2	20
46	как мы	3	20
47	же время	7	20
48	место в	3	20
49	хотя бы	4	19
50	по себе	4	19
51	т п	2	18
52	все же	10	18
53	и все	7	18
54	все эти	3	18
55	в связи	3	18
56	должна быть	2	18
57	с его	6	18
58	только в	23	18
59	как в	9	17
60	как раз	9	17
61	так же	2	16
62	во всяком	2	16
63	с другой	6	16
64	потому что	7	16
65	всяком случае	2	16
66	все время	2	15
67	но в	10	15
68	бы в	2	15
69	во всех	2	15
70	в литературе	8	15
71	именно в	5	15
72	и на	5	15
73	что он	7	14
74	только на	4	14
75	в целом	5	14
76	в ее	4	14
77	в своем	7	14
78	еще не	6	14
79	в жизни	9	14
80	в этой	8	14
81	и потому	2	14
82	жизни и	7	14
83	вместе с	3	14
84	до конца	2	13
85	со стороны	14	13
86	того что	7	13
87	а в	19	13
88	для них	2	13
89	что и	3	13
90	сводится к	10	13
91	в результате	4	13
92	она не	2	13
93	в действительности	2	12
94	по отношению	5	12
95	как это	7	12
96	того чтобы	7	12
97	и здесь	3	12
98	к тому	13	12
99	отношению к	5	12
100	и для	4	12
101	оно не	4	12
102	уже не	11	12
103	никогда не	8	11
104	этом отношении	5	11
105	это и	2	11
106	они не	3	11
107	так сказать	4	11
108	но не	7	11
109	для него	8	11
110	зависимости от	3	11
111	между тем	5	11
112	не о	2	10
113	друг друга	2	10
114	язык как	2	10
115	в зависимости	3	10
116	мы не	5	10
117	не было	3	10
118	другой стороны	2	10
119	с ее	3	10
120	не является	7	10
121	как о	2	10
122	в первом	4	10
123	и как	4	10
124	в своих	2	10
125	раз и	2	10
126	он не	8	10
127	на фоне	2	10
128	если же	2	10
129	в слове	4	10
130	тем же	3	10
131	быть и	3	9
132	ничего не	8	9
133	здесь не	4	9
134	но это	2	9
135	или иного	3	9
136	и даже	4	9
137	у нас	4	9
138	не могло	3	9
139	в свою	4	9
140	это не	6	8
141	в других	2	8
142	между собой	3	8
143	до сих	3	8
144	одной стороны	5	8
145	с одной	5	8
146	в области	4	8
147	же как	2	8
148	что это	4	8
149	в данном	17	8
150	сих пор	3	8
151	и является	2	8
152	и к	7	8
153	роль в	4	8
154	для того	4	8
155	не следует	3	8
156	ясно что	2	8
157	том что	15	7
158	в себе	14	7
159	свою очередь	2	7
160	как к	3	7
161	что именно	2	7
162	или менее	2	7
163	более или	2	7
164	во втором	6	7
165	в сущности	2	7
166	сказать что	5	7
167	к этому	2	7
168	того или	3	7
169	в особенности	2	7
170	жизни в	7	7
171	и наконец	2	7
172	и только	2	7
173	в какой	2	7
174	и более	2	7
175	сами по	2	7
176	столь же	6	7
177	из них	4	7
178	он и	2	7
179	в той	4	7
180	данном случае	12	6
181	его смысла	2	6
182	тем самым	9	6
183	в которой	2	6
184	в направлении	2	6
185	и лишь	2	6
186	в конце	4	6
187	отношение к	2	6
188	и тем	9	6
189	в частности	23	6
190	в формах	2	6
191	так в	4	6
192	его и	2	6
193	тому что	4	6
194	в этих	3	6
195	на ее	2	6
196	один из	8	6
197	к его	5	6
198	из этих	6	6
199	они и	2	6
200	особенно в	3	6
201	от его	2	6
202	но для	5	6
203	не по	5	6
204	например в	2	6
205	о том	5	6
206	их в	4	6
207	в произведении	2	6
208	только не	2	6
209	как она	2	6
210	с ним	6	6
211	той же	2	6
212	ни о	3	5
